,level_0,PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp,RobPos
82003,store,DiscSize,0x0003,2,0x00000000,2020-09-24T11:48:21.475Z,2020-09-24T11:48:21.475Z,0.0
82004,rp,529,0x0007,1054080079,0x00000000,2020-09-24T11:48:21.603Z,2020-09-24T11:48:21.603Z,0.0
82005,rp,528,0x0007,3188462824,0x00000000,2020-09-24T11:48:21.604Z,2020-09-24T11:48:21.604Z,0.0
82006,rp,527,0x0007,3194886374,0x00000000,2020-09-24T11:48:21.606Z,2020-09-24T11:48:21.606Z,0.0
82007,gate,Position,0x000b,23.3,0x00000000,2020-09-24T11:48:21.703Z,2020-09-24T11:48:21.703Z,0.0
82008,gate,Speed,0x000b,-30,0x00000000,2020-09-24T11:48:21.703Z,2020-09-24T11:48:21.703Z,0.0
82009,gate,Safe,0x0001,false,0x00000000,2020-09-24T11:48:21.703Z,2020-09-24T11:48:21.703Z,0.0
82010,qc,DistanceAbs,0x000b,0.780020965945,0x00000000,2020-09-24T11:48:21.749Z,2020-09-24T11:48:21.749Z,0.0
82011,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T11:48:21.749Z,2020-09-24T11:48:21.749Z,0.0
82012,qc,DistanceX,0x000b,0.6507228612899999,0x00000000,2020-09-24T11:48:21.749Z,2020-09-24T11:48:21.749Z,0.0
82013,qc,DistanceY,0x000b,0.430107504129,0x00000000,2020-09-24T11:48:21.749Z,2020-09-24T11:48:21.749Z,0.0
82014,store,DiscSize,0x0003,2,0x00000000,2020-09-24T11:48:21.775Z,2020-09-24T11:48:21.775Z,0.0
82015,rp,528,0x0007,3187687617,0x00000000,2020-09-24T11:48:21.854Z,2020-09-24T11:48:21.854Z,0.0
82016,rp,529,0x0007,1053931614,0x00000000,2020-09-24T11:48:21.854Z,2020-09-24T11:48:21.854Z,0.0
82017,rp,527,0x0007,3197504435,0x00000000,2020-09-24T11:48:21.856Z,2020-09-24T11:48:21.856Z,0.0
82018,gate,Position,0x000b,12.8,0x00000000,2020-09-24T11:48:22.003Z,2020-09-24T11:48:22.003Z,0.0
82019,gate,Speed,0x000b,-50,0x00000000,2020-09-24T11:48:22.003Z,2020-09-24T11:48:22.003Z,0.0
82020,gate,Safe,0x0001,false,0x00000000,2020-09-24T11:48:22.003Z,2020-09-24T11:48:22.003Z,0.0
82021,qc,DistanceX,0x000b,0.6507228612899999,0x00000000,2020-09-24T11:48:22.049Z,2020-09-24T11:48:22.049Z,0.0
82022,qc,DistanceAbs,0x000b,0.780020965945,0x00000000,2020-09-24T11:48:22.049Z,2020-09-24T11:48:22.049Z,0.0
82023,qc,DistanceY,0x000b,0.430107504129,0x00000000,2020-09-24T11:48:22.049Z,2020-09-24T11:48:22.049Z,0.0
82024,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T11:48:22.049Z,2020-09-24T11:48:22.049Z,0.0
82025,store,DiscSize,0x0003,2,0x00000000,2020-09-24T11:48:22.075Z,2020-09-24T11:48:22.075Z,0.0
82026,rp,529,0x0007,1053882954,0x00000000,2020-09-24T11:48:22.104Z,2020-09-24T11:48:22.104Z,0.0
82027,rp,528,0x0007,3187220712,0x00000000,2020-09-24T11:48:22.107Z,2020-09-24T11:48:22.107Z,0.0
82028,rp,527,0x0007,3198151678,0x00000000,2020-09-24T11:48:22.107Z,2020-09-24T11:48:22.107Z,0.0
82029,gate,Speed,0x000b,-30,0x00000000,2020-09-24T11:48:22.303Z,2020-09-24T11:48:22.303Z,0.0
82030,gate,Safe,0x0001,false,0x00000000,2020-09-24T11:48:22.303Z,2020-09-24T11:48:22.303Z,0.0
82031,gate,Position,0x000b,2.7,0x00000000,2020-09-24T11:48:22.303Z,2020-09-24T11:48:22.303Z,0.0
82032,qc,DistanceAbs,0x000b,0.780020965945,0x00000000,2020-09-24T11:48:22.349Z,2020-09-24T11:48:22.349Z,0.0
82033,qc,DistanceX,0x000b,0.6507228612899999,0x00000000,2020-09-24T11:48:22.349Z,2020-09-24T11:48:22.349Z,0.0
82034,qc,DistanceY,0x000b,0.430107504129,0x00000000,2020-09-24T11:48:22.349Z,2020-09-24T11:48:22.349Z,0.0
82035,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T11:48:22.349Z,2020-09-24T11:48:22.349Z,0.0
82036,rp,529,0x0007,1053891254,0x00000000,2020-09-24T11:48:22.352Z,2020-09-24T11:48:22.352Z,0.0
82037,rp,528,0x0007,3187228913,0x00000000,2020-09-24T11:48:22.352Z,2020-09-24T11:48:22.352Z,0.0
82038,rp,527,0x0007,3198140931,0x00000000,2020-09-24T11:48:22.355Z,2020-09-24T11:48:22.355Z,0.0
82039,store,DiscSize,0x0003,2,0x00000000,2020-09-24T11:48:22.375Z,2020-09-24T11:48:22.375Z,0.0
82040,rp,528,0x0007,3187228128,0x00000000,2020-09-24T11:48:22.603Z,2020-09-24T11:48:22.603Z,0.0
82041,gate,Position,0x000b,0.3,0x00000000,2020-09-24T11:48:22.603Z,2020-09-24T11:48:22.603Z,0.0
82042,rp,529,0x0007,1053890322,0x00000000,2020-09-24T11:48:22.603Z,2020-09-24T11:48:22.603Z,0.0
82043,gate,Speed,0x000b,0,0x00000000,2020-09-24T11:48:22.603Z,2020-09-24T11:48:22.603Z,0.0
82044,gate,Safe,0x0001,true,0x00000000,2020-09-24T11:48:22.603Z,2020-09-24T11:48:22.603Z,0.0
82045,rp,527,0x0007,3198141479,0x00000000,2020-09-24T11:48:22.605Z,2020-09-24T11:48:22.605Z,0.0
82046,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T11:48:22.649Z,2020-09-24T11:48:22.649Z,0.0
82047,qc,DistanceAbs,0x000b,0.780020965945,0x00000000,2020-09-24T11:48:22.649Z,2020-09-24T11:48:22.649Z,0.0
82048,qc,DistanceY,0x000b,0.430107504129,0x00000000,2020-09-24T11:48:22.649Z,2020-09-24T11:48:22.649Z,0.0
82049,qc,DistanceX,0x000b,0.6507228612899999,0x00000000,2020-09-24T11:48:22.649Z,2020-09-24T11:48:22.649Z,0.0
82050,store,DiscSize,0x0003,2,0x00000000,2020-09-24T11:48:22.675Z,2020-09-24T11:48:22.675Z,0.0
82051,rp,528,0x0007,3187232821,0x00000000,2020-09-24T11:48:22.853Z,2020-09-24T11:48:22.853Z,0.0
