,level_0,PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp,RobPos
92391,rp,528,0x0007,3187232115,0x00000000,2020-09-24T11:52:54.354Z,2020-09-24T11:52:54.354Z,0.0
92392,rp,527,0x0007,3198143128,0x00000000,2020-09-24T11:52:54.356Z,2020-09-24T11:52:54.356Z,0.0
92393,gate,Position,0x000b,0.3,0x00000000,2020-09-24T11:52:54.403Z,2020-09-24T11:52:54.403Z,0.0
92394,gate,Safe,0x0001,true,0x00000000,2020-09-24T11:52:54.403Z,2020-09-24T11:52:54.403Z,0.0
92395,gate,Speed,0x000b,0,0x00000000,2020-09-24T11:52:54.403Z,2020-09-24T11:52:54.403Z,0.0
92396,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T11:52:54.449Z,2020-09-24T11:52:54.449Z,0.0
92397,qc,DistanceY,0x000b,0.860215008259,0x00000000,2020-09-24T11:52:54.449Z,2020-09-24T11:52:54.449Z,0.0
92398,qc,DistanceX,0x000b,0.21690762043,0x00000000,2020-09-24T11:52:54.449Z,2020-09-24T11:52:54.449Z,0.0
92399,qc,DistanceAbs,0x000b,0.887140787155,0x00000000,2020-09-24T11:52:54.449Z,2020-09-24T11:52:54.449Z,0.0
92400,store,DiscSize,0x0003,2,0x00000000,2020-09-24T11:52:54.475Z,2020-09-24T11:52:54.475Z,0.0
92401,rp,529,0x0007,1053386771,0x00000000,2020-09-24T11:52:54.603Z,2020-09-24T11:52:54.603Z,0.0
92402,rp,528,0x0007,3187433635,0x00000000,2020-09-24T11:52:54.604Z,2020-09-24T11:52:54.604Z,0.0
92403,rp,527,0x0007,3198143872,0x00000000,2020-09-24T11:52:54.606Z,2020-09-24T11:52:54.606Z,0.0
92404,gate,Speed,0x000b,0,0x00000000,2020-09-24T11:52:54.703Z,2020-09-24T11:52:54.703Z,0.0
92405,gate,Position,0x000b,0.3,0x00000000,2020-09-24T11:52:54.703Z,2020-09-24T11:52:54.703Z,0.0
92406,gate,Safe,0x0001,true,0x00000000,2020-09-24T11:52:54.703Z,2020-09-24T11:52:54.703Z,0.0
92407,qc,DistanceY,0x000b,0.860215008259,0x00000000,2020-09-24T11:52:54.749Z,2020-09-24T11:52:54.749Z,0.0
92408,qc,DistanceX,0x000b,0.21690762043,0x00000000,2020-09-24T11:52:54.749Z,2020-09-24T11:52:54.749Z,0.0
92409,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T11:52:54.749Z,2020-09-24T11:52:54.749Z,0.0
92410,qc,DistanceAbs,0x000b,0.887140787155,0x00000000,2020-09-24T11:52:54.749Z,2020-09-24T11:52:54.749Z,0.0
