,level_0,PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp,RobPos
84925,store,DiscSize,0x0003,2,0x00000000,2020-09-24T11:49:37.075Z,2020-09-24T11:49:37.075Z,0.0
84926,rp,529,0x0007,1053927242,0x00000000,2020-09-24T11:49:37.102Z,2020-09-24T11:49:37.102Z,0.0
84927,rp,528,0x0007,3187683875,0x00000000,2020-09-24T11:49:37.104Z,2020-09-24T11:49:37.104Z,0.0
84928,rp,527,0x0007,3197557438,0x00000000,2020-09-24T11:49:37.106Z,2020-09-24T11:49:37.106Z,0.0
84929,gate,Safe,0x0001,false,0x00000000,2020-09-24T11:49:37.303Z,2020-09-24T11:49:37.303Z,0.0
84930,gate,Speed,0x000b,-30,0x00000000,2020-09-24T11:49:37.303Z,2020-09-24T11:49:37.303Z,0.0
84931,gate,Position,0x000b,7.4,0x00000000,2020-09-24T11:49:37.303Z,2020-09-24T11:49:37.303Z,0.0
84932,qc,DistanceY,0x000b,0.21505375206500002,0x00000000,2020-09-24T11:49:37.349Z,2020-09-24T11:49:37.349Z,0.0
84933,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T11:49:37.349Z,2020-09-24T11:49:37.349Z,0.0
84934,qc,DistanceAbs,0x000b,0.48419394820600004,0x00000000,2020-09-24T11:49:37.349Z,2020-09-24T11:49:37.349Z,0.0
84935,qc,DistanceX,0x000b,0.43381524086,0x00000000,2020-09-24T11:49:37.349Z,2020-09-24T11:49:37.349Z,0.0
84936,rp,529,0x0007,1053882799,0x00000000,2020-09-24T11:49:37.354Z,2020-09-24T11:49:37.354Z,0.0
84937,rp,527,0x0007,3198150837,0x00000000,2020-09-24T11:49:37.357Z,2020-09-24T11:49:37.357Z,0.0
84938,rp,528,0x0007,3187221163,0x00000000,2020-09-24T11:49:37.357Z,2020-09-24T11:49:37.357Z,0.0
84939,store,DiscSize,0x0003,2,0x00000000,2020-09-24T11:49:37.375Z,2020-09-24T11:49:37.375Z,0.0
84940,rp,529,0x0007,1053891131,0x00000000,2020-09-24T11:49:37.602Z,2020-09-24T11:49:37.602Z,0.0
84941,gate,Speed,0x000b,0,0x00000000,2020-09-24T11:49:37.603Z,2020-09-24T11:49:37.603Z,0.0
84942,gate,Safe,0x0001,true,0x00000000,2020-09-24T11:49:37.603Z,2020-09-24T11:49:37.603Z,0.0
84943,gate,Position,0x000b,0.3,0x00000000,2020-09-24T11:49:37.603Z,2020-09-24T11:49:37.603Z,0.0
84944,rp,528,0x0007,3187225263,0x00000000,2020-09-24T11:49:37.603Z,2020-09-24T11:49:37.603Z,0.0
84945,rp,527,0x0007,3198141036,0x00000000,2020-09-24T11:49:37.605Z,2020-09-24T11:49:37.605Z,0.0
84946,qc,DistanceY,0x000b,0.21505375206500002,0x00000000,2020-09-24T11:49:37.649Z,2020-09-24T11:49:37.649Z,0.0
84947,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T11:49:37.649Z,2020-09-24T11:49:37.649Z,0.0
84948,qc,DistanceX,0x000b,0.43381524086,0x00000000,2020-09-24T11:49:37.649Z,2020-09-24T11:49:37.649Z,0.0
84949,qc,DistanceAbs,0x000b,0.48419394820600004,0x00000000,2020-09-24T11:49:37.649Z,2020-09-24T11:49:37.649Z,0.0
84950,store,DiscSize,0x0003,2,0x00000000,2020-09-24T11:49:37.675Z,2020-09-24T11:49:37.675Z,0.0
84951,rp,529,0x0007,1053890857,0x00000000,2020-09-24T11:49:37.853Z,2020-09-24T11:49:37.853Z,0.0
84952,rp,528,0x0007,3187225794,0x00000000,2020-09-24T11:49:37.853Z,2020-09-24T11:49:37.853Z,0.0
84953,rp,527,0x0007,3198141590,0x00000000,2020-09-24T11:49:37.856Z,2020-09-24T11:49:37.856Z,0.0
84954,gate,Safe,0x0001,true,0x00000000,2020-09-24T11:49:37.903Z,2020-09-24T11:49:37.903Z,0.0
84955,gate,Speed,0x000b,0,0x00000000,2020-09-24T11:49:37.903Z,2020-09-24T11:49:37.903Z,0.0
84956,gate,Position,0x000b,0.3,0x00000000,2020-09-24T11:49:37.903Z,2020-09-24T11:49:37.903Z,0.0
84957,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T11:49:37.949Z,2020-09-24T11:49:37.949Z,0.0
84958,qc,DistanceAbs,0x000b,0.48419394820600004,0x00000000,2020-09-24T11:49:37.949Z,2020-09-24T11:49:37.949Z,0.0
84959,qc,DistanceY,0x000b,0.21505375206500002,0x00000000,2020-09-24T11:49:37.949Z,2020-09-24T11:49:37.949Z,0.0
84960,qc,DistanceX,0x000b,0.43381524086,0x00000000,2020-09-24T11:49:37.949Z,2020-09-24T11:49:37.949Z,0.0
84961,store,DiscSize,0x0003,2,0x00000000,2020-09-24T11:49:37.975Z,2020-09-24T11:49:37.975Z,0.0
84962,rp,529,0x0007,1053887532,0x00000000,2020-09-24T11:49:38.103Z,2020-09-24T11:49:38.103Z,0.0
84963,rp,528,0x0007,3187231821,0x00000000,2020-09-24T11:49:38.104Z,2020-09-24T11:49:38.104Z,0.0
84964,rp,527,0x0007,3198143384,0x00000000,2020-09-24T11:49:38.106Z,2020-09-24T11:49:38.106Z,0.0
84965,gate,Safe,0x0001,true,0x00000000,2020-09-24T11:49:38.203Z,2020-09-24T11:49:38.203Z,0.0
84966,gate,Speed,0x000b,0,0x00000000,2020-09-24T11:49:38.203Z,2020-09-24T11:49:38.203Z,0.0
84967,gate,Position,0x000b,0.3,0x00000000,2020-09-24T11:49:38.203Z,2020-09-24T11:49:38.203Z,0.0
84968,qc,DistanceAbs,0x000b,0.48419394820600004,0x00000000,2020-09-24T11:49:38.249Z,2020-09-24T11:49:38.249Z,0.0
84969,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T11:49:38.249Z,2020-09-24T11:49:38.249Z,0.0
84970,qc,DistanceY,0x000b,0.21505375206500002,0x00000000,2020-09-24T11:49:38.249Z,2020-09-24T11:49:38.249Z,0.0
