,level_0,PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
6641,flag,560,0x0004,2,0x00000000,2020-10-27T15:09:24.378Z,2020-10-27 15:08:17.378000+00:00
6642,rp,528,0x0007,3188631591,0x00000000,2020-10-27T15:09:24.381Z,2020-10-27 15:08:17.381000+00:00
6643,rp,527,0x0007,3198146094,0x00000000,2020-10-27T15:09:24.381Z,2020-10-27 15:08:17.381000+00:00
6644,rp,529,0x0007,1051185793,0x00000000,2020-10-27T15:09:24.384Z,2020-10-27 15:08:17.384000+00:00
6645,gate,Position,0x000b,0.3,0x00000000,2020-10-27T15:08:17.396Z,2020-10-27 15:08:17.396000+00:00
6646,gate,Speed,0x000b,0,0x00000000,2020-10-27T15:08:17.396Z,2020-10-27 15:08:17.396000+00:00
6647,gate,Safe,0x0001,true,0x00000000,2020-10-27T15:08:17.396Z,2020-10-27 15:08:17.396000+00:00
6648,qc,DistanceAbs,0x000b,1.15948202665,0x00000000,2020-10-27T15:08:17.432Z,2020-10-27 15:08:17.432000+00:00
6649,qc,DistanceX,0x000b,0.43381524086,0x00000000,2020-10-27T15:08:17.432Z,2020-10-27 15:08:17.432000+00:00
6650,qc,DistanceY,0x000b,1.07526876032,0x00000000,2020-10-27T15:08:17.432Z,2020-10-27 15:08:17.432000+00:00
6651,qc,ResultCode,0x0006,0.0,0x00000000,2020-10-27T15:08:17.432Z,2020-10-27 15:08:17.432000+00:00
6652,store,DiscSize,0x0003,1,0x00000000,2020-10-27T15:08:17.585Z,2020-10-27 15:08:17.585000+00:00
6653,rp,528,0x0007,3188628415,0x00000000,2020-10-27T15:09:24.629Z,2020-10-27 15:08:17.629000+00:00
6654,rp,527,0x0007,3198147118,0x00000000,2020-10-27T15:09:24.629Z,2020-10-27 15:08:17.629000+00:00
6655,rp,529,0x0007,1051184837,0x00000000,2020-10-27T15:09:24.631Z,2020-10-27 15:08:17.631000+00:00
6656,gate,Position,0x000b,0.3,0x00000000,2020-10-27T15:08:17.696Z,2020-10-27 15:08:17.696000+00:00
6657,gate,Speed,0x000b,0,0x00000000,2020-10-27T15:08:17.696Z,2020-10-27 15:08:17.696000+00:00
6658,gate,Safe,0x0001,true,0x00000000,2020-10-27T15:08:17.696Z,2020-10-27 15:08:17.696000+00:00
6659,qc,DistanceX,0x000b,0.43381524086,0x00000000,2020-10-27T15:08:17.732Z,2020-10-27 15:08:17.732000+00:00
6660,qc,ResultCode,0x0006,0.0,0x00000000,2020-10-27T15:08:17.732Z,2020-10-27 15:08:17.732000+00:00
6661,qc,DistanceY,0x000b,1.07526876032,0x00000000,2020-10-27T15:08:17.732Z,2020-10-27 15:08:17.732000+00:00
6662,qc,DistanceAbs,0x000b,1.15948202665,0x00000000,2020-10-27T15:08:17.732Z,2020-10-27 15:08:17.732000+00:00
6663,rp,527,0x0007,3198146997,0x00000000,2020-10-27T15:09:24.880Z,2020-10-27 15:08:17.880000+00:00
6664,rp,528,0x0007,3188627476,0x00000000,2020-10-27T15:09:24.882Z,2020-10-27 15:08:17.882000+00:00
6665,rp,529,0x0007,1051184946,0x00000000,2020-10-27T15:09:24.884Z,2020-10-27 15:08:17.884000+00:00
6666,store,DiscSize,0x0003,0,0x00000000,2020-10-27T15:08:17.885Z,2020-10-27 15:08:17.885000+00:00
6667,gate,Position,0x000b,0.3,0x00000000,2020-10-27T15:08:17.996Z,2020-10-27 15:08:17.996000+00:00
6668,gate,Speed,0x000b,0,0x00000000,2020-10-27T15:08:17.996Z,2020-10-27 15:08:17.996000+00:00
6669,gate,Safe,0x0001,true,0x00000000,2020-10-27T15:08:17.996Z,2020-10-27 15:08:17.996000+00:00
6670,qc,DistanceX,0x000b,0.43381524086,0x00000000,2020-10-27T15:08:18.032Z,2020-10-27 15:08:18.032000+00:00
6671,qc,DistanceAbs,0x000b,1.15948202665,0x00000000,2020-10-27T15:08:18.032Z,2020-10-27 15:08:18.032000+00:00
6672,qc,ResultCode,0x0006,0.0,0x00000000,2020-10-27T15:08:18.032Z,2020-10-27 15:08:18.032000+00:00
6673,qc,DistanceY,0x000b,1.07526876032,0x00000000,2020-10-27T15:08:18.032Z,2020-10-27 15:08:18.032000+00:00
6674,rp,527,0x0007,3198147187,0x00000000,2020-10-27T15:09:25.125Z,2020-10-27 15:08:18.125000+00:00
6675,rp,528,0x0007,3188627831,0x00000000,2020-10-27T15:09:25.128Z,2020-10-27 15:08:18.128000+00:00
6676,rp,529,0x0007,1051184887,0x00000000,2020-10-27T15:09:25.130Z,2020-10-27 15:08:18.130000+00:00
6677,store,DiscSize,0x0003,0,0x00000000,2020-10-27T15:08:18.185Z,2020-10-27 15:08:18.185000+00:00
6678,gate,Position,0x000b,0.3,0x00000000,2020-10-27T15:08:18.296Z,2020-10-27 15:08:18.296000+00:00
6679,gate,Safe,0x0001,true,0x00000000,2020-10-27T15:08:18.296Z,2020-10-27 15:08:18.296000+00:00
6680,gate,Speed,0x000b,0,0x00000000,2020-10-27T15:08:18.296Z,2020-10-27 15:08:18.296000+00:00
6681,qc,DistanceAbs,0x000b,1.15948202665,0x00000000,2020-10-27T15:08:18.332Z,2020-10-27 15:08:18.332000+00:00
6682,qc,DistanceY,0x000b,1.07526876032,0x00000000,2020-10-27T15:08:18.332Z,2020-10-27 15:08:18.332000+00:00
6683,qc,DistanceX,0x000b,0.43381524086,0x00000000,2020-10-27T15:08:18.332Z,2020-10-27 15:08:18.332000+00:00
6684,qc,ResultCode,0x0006,0.0,0x00000000,2020-10-27T15:08:18.332Z,2020-10-27 15:08:18.332000+00:00
