,level_0,PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp,RobPos
4106,store,DiscSize,0x0003,2,0x00000000,2020-10-27T15:07:12.185Z,2020-10-27 15:07:12.185000+00:00,0.0
4107,gate,Safe,0x0001,false,0x00000000,2020-10-27T15:07:12.296Z,2020-10-27 15:07:12.296000+00:00,0.0
4108,gate,Speed,0x000b,-30,0x00000000,2020-10-27T15:07:12.296Z,2020-10-27 15:07:12.296000+00:00,0.0
4109,gate,Position,0x000b,58.9,0x00000000,2020-10-27T15:07:12.296Z,2020-10-27 15:07:12.296000+00:00,0.0
4110,qc,DistanceAbs,0x000b,1.15948202665,0x00000000,2020-10-27T15:07:12.332Z,2020-10-27 15:07:12.332000+00:00,0.0
4111,qc,ResultCode,0x0006,0.0,0x00000000,2020-10-27T15:07:12.332Z,2020-10-27 15:07:12.332000+00:00,0.0
4112,qc,DistanceY,0x000b,1.07526876032,0x00000000,2020-10-27T15:07:12.332Z,2020-10-27 15:07:12.332000+00:00,0.0
4113,qc,DistanceX,0x000b,0.43381524086,0x00000000,2020-10-27T15:07:12.332Z,2020-10-27 15:07:12.332000+00:00,0.0
4114,rp,527,0x0007,1007389991,0x00000000,2020-10-27T15:08:19.382Z,2020-10-27 15:07:12.382000+00:00,0.0
4115,rp,528,0x0007,3190768076,0x00000000,2020-10-27T15:08:19.382Z,2020-10-27 15:07:12.382000+00:00,0.0
4116,rp,529,0x0007,1054425023,0x00000000,2020-10-27T15:08:19.385Z,2020-10-27 15:07:12.385000+00:00,0.0
4117,store,DiscSize,0x0003,2,0x00000000,2020-10-27T15:07:12.485Z,2020-10-27 15:07:12.485000+00:00,0.0
4118,gate,Speed,0x000b,-40,0x00000000,2020-10-27T15:07:12.596Z,2020-10-27 15:07:12.596000+00:00,0.0
4119,gate,Position,0x000b,49,0x00000000,2020-10-27T15:07:12.596Z,2020-10-27 15:07:12.596000+00:00,0.0
4120,gate,Safe,0x0001,false,0x00000000,2020-10-27T15:07:12.596Z,2020-10-27 15:07:12.596000+00:00,0.0
4121,rp,527,0x0007,1024068001,0x00000000,2020-10-27T15:08:19.628Z,2020-10-27 15:07:12.628000+00:00,0.0
4122,rp,528,0x0007,3190291563,0x00000000,2020-10-27T15:08:19.628Z,2020-10-27 15:07:12.628000+00:00,0.0
4123,rp,529,0x0007,1054421153,0x00000000,2020-10-27T15:08:19.630Z,2020-10-27 15:07:12.630000+00:00,0.0
4124,qc,DistanceAbs,0x000b,1.15948202665,0x00000000,2020-10-27T15:07:12.632Z,2020-10-27 15:07:12.632000+00:00,0.0
4125,qc,DistanceX,0x000b,0.43381524086,0x00000000,2020-10-27T15:07:12.632Z,2020-10-27 15:07:12.632000+00:00,0.0
