PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
1,0x0003,2,0x00000000,2020-09-24T13:17:56.121Z,2020-09-24T13:17:56.121Z
1,0x0003,2,0x00000000,2020-09-24T13:17:56.421Z,2020-09-24T13:17:56.421Z
1,0x0003,2,0x00000000,2020-09-24T13:17:56.721Z,2020-09-24T13:17:56.721Z
1,0x0003,2,0x00000000,2020-09-24T13:17:57.021Z,2020-09-24T13:17:57.021Z
1,0x0003,2,0x00000000,2020-09-24T13:17:57.321Z,2020-09-24T13:17:57.321Z
1,0x0003,2,0x00000000,2020-09-24T13:17:57.621Z,2020-09-24T13:17:57.621Z
1,0x0003,2,0x00000000,2020-09-24T13:17:57.921Z,2020-09-24T13:17:57.921Z
1,0x0003,2,0x00000000,2020-09-24T13:17:58.221Z,2020-09-24T13:17:58.221Z
1,0x0003,2,0x00000000,2020-09-24T13:17:58.521Z,2020-09-24T13:17:58.521Z
1,0x0003,0,0x00000000,2020-09-24T13:17:58.821Z,2020-09-24T13:17:58.821Z
1,0x0003,0,0x00000000,2020-09-24T13:17:59.121Z,2020-09-24T13:17:59.121Z
1,0x0003,0,0x00000000,2020-09-24T13:17:59.421Z,2020-09-24T13:17:59.421Z
1,0x0003,0,0x00000000,2020-09-24T13:17:59.721Z,2020-09-24T13:17:59.721Z
1,0x0003,0,0x00000000,2020-09-24T13:18:00.021Z,2020-09-24T13:18:00.021Z
1,0x0003,0,0x00000000,2020-09-24T13:18:00.321Z,2020-09-24T13:18:00.321Z
1,0x0003,0,0x00000000,2020-09-24T13:18:00.621Z,2020-09-24T13:18:00.621Z
1,0x0003,0,0x00000000,2020-09-24T13:18:00.921Z,2020-09-24T13:18:00.921Z
1,0x0003,0,0x00000000,2020-09-24T13:18:01.221Z,2020-09-24T13:18:01.221Z
1,0x0003,0,0x00000000,2020-09-24T13:18:01.521Z,2020-09-24T13:18:01.521Z
1,0x0003,0,0x00000000,2020-09-24T13:18:01.821Z,2020-09-24T13:18:01.821Z
1,0x0003,0,0x00000000,2020-09-24T13:18:02.121Z,2020-09-24T13:18:02.121Z
1,0x0003,1,0x00000000,2020-09-24T13:18:02.421Z,2020-09-24T13:18:02.421Z
1,0x0003,1,0x00000000,2020-09-24T13:18:02.721Z,2020-09-24T13:18:02.721Z
1,0x0003,1,0x00000000,2020-09-24T13:18:03.021Z,2020-09-24T13:18:03.021Z
1,0x0003,1,0x00000000,2020-09-24T13:18:03.321Z,2020-09-24T13:18:03.321Z
1,0x0003,1,0x00000000,2020-09-24T13:18:03.621Z,2020-09-24T13:18:03.621Z
1,0x0003,1,0x00000000,2020-09-24T13:18:03.921Z,2020-09-24T13:18:03.921Z
1,0x0003,1,0x00000000,2020-09-24T13:18:04.221Z,2020-09-24T13:18:04.221Z
1,0x0003,1,0x00000000,2020-09-24T13:18:04.521Z,2020-09-24T13:18:04.521Z
1,0x0003,1,0x00000000,2020-09-24T13:18:04.821Z,2020-09-24T13:18:04.821Z
