,level_0,PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp,RobPos
6082,store,DiscSize,0x0003,2,0x00000000,2020-10-12T09:12:03.271Z,2020-10-12 09:11:08.271000+00:00,1.0
6083,qc,DistanceX,0x000b,0.86763048172,0x00000000,2020-10-12T09:12:03.282Z,2020-10-12 09:11:08.282000+00:00,1.0
6084,qc,DistanceY,0x000b,1.7204300165200002,0x00000000,2020-10-12T09:12:03.282Z,2020-10-12 09:11:08.282000+00:00,1.0
6085,qc,DistanceAbs,0x000b,1.92682694982,0x00000000,2020-10-12T09:12:03.282Z,2020-10-12 09:11:08.282000+00:00,1.0
6086,gate,Speed,0x000b,0,0x00000000,2020-10-12T09:12:03.380Z,2020-10-12 09:11:08.380000+00:00,1.0
6087,gate,Position,0x000b,57.9,0x00000000,2020-10-12T09:12:03.380Z,2020-10-12 09:11:08.380000+00:00,1.0
6088,gate,Safe,0x0001,false,0x00000000,2020-10-12T09:12:03.380Z,2020-10-12 09:11:08.380000+00:00,1.0
6089,rp,527,0x0007,3198143102,0x00000000,2020-10-12T09:11:08.480Z,2020-10-12 09:11:08.480000+00:00,1.0
6090,rp,528,0x0007,3187074545,0x00000000,2020-10-12T09:11:08.482Z,2020-10-12 09:11:08.482000+00:00,1.0
6091,rp,529,0x0007,1051235466,0x00000000,2020-10-12T09:11:08.482Z,2020-10-12 09:11:08.482000+00:00,0.0
6092,store,DiscSize,0x0003,2,0x00000000,2020-10-12T09:12:03.571Z,2020-10-12 09:11:08.571000+00:00,0.0
6093,qc,DistanceY,0x000b,1.7204300165200002,0x00000000,2020-10-12T09:12:03.582Z,2020-10-12 09:11:08.582000+00:00,0.0
6094,qc,DistanceX,0x000b,0.86763048172,0x00000000,2020-10-12T09:12:03.582Z,2020-10-12 09:11:08.582000+00:00,0.0
6095,qc,DistanceAbs,0x000b,1.92682694982,0x00000000,2020-10-12T09:12:03.582Z,2020-10-12 09:11:08.582000+00:00,0.0
6096,gate,Position,0x000b,47.6,0x00000000,2020-10-12T09:12:03.680Z,2020-10-12 09:11:08.680000+00:00,0.0
