,level_0,PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp,RobPos
21127,store,DiscSize,0x0003,2,0x00000000,2020-09-24T12:10:57.148Z,2020-09-24T12:10:57.148Z,0.0
21128,gate,Position,0x000b,26.2,0x00000000,2020-09-24T12:10:57.240Z,2020-09-24T12:10:57.240Z,0.0
21129,gate,Safe,0x0001,false,0x00000000,2020-09-24T12:10:57.240Z,2020-09-24T12:10:57.240Z,0.0
21130,gate,Speed,0x000b,-40,0x00000000,2020-09-24T12:10:57.240Z,2020-09-24T12:10:57.240Z,0.0
21131,qc,ResultCode,0x0006,1.0,0x00000000,2020-09-24T12:10:57.310Z,2020-09-24T12:10:57.310Z,0.0
21132,qc,DistanceX,0x000b,13.6651800871,0x00000000,2020-09-24T12:10:57.310Z,2020-09-24T12:10:57.310Z,0.0
21133,qc,DistanceAbs,0x000b,32.0875219667,0x00000000,2020-09-24T12:10:57.310Z,2020-09-24T12:10:57.310Z,0.0
21134,qc,DistanceY,0x000b,29.0322565287,0x00000000,2020-09-24T12:10:57.310Z,2020-09-24T12:10:57.310Z,0.0
21135,rp,527,0x0007,1023612669,0x00000000,2020-09-24T12:10:57.357Z,2020-09-24T12:10:57.357Z,0.0
21136,rp,529,0x0007,1054419888,0x00000000,2020-09-24T12:10:57.359Z,2020-09-24T12:10:57.359Z,0.0
21137,rp,528,0x0007,3190340689,0x00000000,2020-09-24T12:10:57.359Z,2020-09-24T12:10:57.359Z,0.0
21138,store,DiscSize,0x0003,0,0x00000000,2020-09-24T12:10:57.448Z,2020-09-24T12:10:57.448Z,0.0
21139,gate,Position,0x000b,16,0x00000000,2020-09-24T12:10:57.540Z,2020-09-24T12:10:57.540Z,0.0
21140,gate,Safe,0x0001,false,0x00000000,2020-09-24T12:10:57.540Z,2020-09-24T12:10:57.540Z,0.0
21141,gate,Speed,0x000b,0,0x00000000,2020-09-24T12:10:57.540Z,2020-09-24T12:10:57.540Z,0.0
21142,rp,527,0x0007,996089922,0x00000000,2020-09-24T12:10:57.605Z,2020-09-24T12:10:57.605Z,0.0
21143,rp,528,0x0007,3190850041,0x00000000,2020-09-24T12:10:57.605Z,2020-09-24T12:10:57.605Z,0.0
21144,rp,529,0x0007,1054425313,0x00000000,2020-09-24T12:10:57.607Z,2020-09-24T12:10:57.607Z,0.0
21145,qc,DistanceY,0x000b,29.0322565287,0x00000000,2020-09-24T12:10:57.610Z,2020-09-24T12:10:57.610Z,0.0
21146,qc,DistanceAbs,0x000b,32.0875219667,0x00000000,2020-09-24T12:10:57.610Z,2020-09-24T12:10:57.610Z,0.0
21147,qc,DistanceX,0x000b,13.6651800871,0x00000000,2020-09-24T12:10:57.610Z,2020-09-24T12:10:57.610Z,0.0
21148,qc,ResultCode,0x0006,1.0,0x00000000,2020-09-24T12:10:57.610Z,2020-09-24T12:10:57.610Z,0.0
21149,store,DiscSize,0x0003,1,0x00000000,2020-09-24T12:10:57.748Z,2020-09-24T12:10:57.748Z,0.0
21150,gate,Position,0x000b,5.7,0x00000000,2020-09-24T12:10:57.840Z,2020-09-24T12:10:57.840Z,0.0
21151,gate,Speed,0x000b,-30,0x00000000,2020-09-24T12:10:57.840Z,2020-09-24T12:10:57.840Z,0.0
21152,gate,Safe,0x0001,false,0x00000000,2020-09-24T12:10:57.840Z,2020-09-24T12:10:57.840Z,0.0
21153,rp,527,0x0007,3176184197,0x00000000,2020-09-24T12:10:57.853Z,2020-09-24T12:10:57.853Z,0.0
21154,rp,528,0x0007,3190879233,0x00000000,2020-09-24T12:10:57.855Z,2020-09-24T12:10:57.855Z,0.0
21155,rp,529,0x0007,1054424907,0x00000000,2020-09-24T12:10:57.858Z,2020-09-24T12:10:57.858Z,0.0
21156,qc,DistanceAbs,0x000b,32.0875219667,0x00000000,2020-09-24T12:10:57.910Z,2020-09-24T12:10:57.910Z,0.0
21157,qc,DistanceY,0x000b,29.0322565287,0x00000000,2020-09-24T12:10:57.910Z,2020-09-24T12:10:57.910Z,0.0
21158,qc,DistanceX,0x000b,13.6651800871,0x00000000,2020-09-24T12:10:57.910Z,2020-09-24T12:10:57.910Z,0.0
21159,qc,ResultCode,0x0006,1.0,0x00000000,2020-09-24T12:10:57.910Z,2020-09-24T12:10:57.910Z,0.0
