,level_0,PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp,RobPos
1800,store,DiscSize,0x0003,2,0x00000000,2020-09-24T12:02:37.348Z,2020-09-24T12:02:37.348Z,0.0
1801,rp,527,0x0007,3197609275,0x00000000,2020-09-24T12:02:37.355Z,2020-09-24T12:02:37.355Z,0.0
1802,rp,528,0x0007,3187574788,0x00000000,2020-09-24T12:02:37.357Z,2020-09-24T12:02:37.357Z,0.0
1803,rp,529,0x0007,1053919156,0x00000000,2020-09-24T12:02:37.360Z,2020-09-24T12:02:37.360Z,0.0
1804,gate,Position,0x000b,0.3,0x00000000,2020-09-24T12:02:37.440Z,2020-09-24T12:02:37.440Z,0.0
1805,gate,Speed,0x000b,0,0x00000000,2020-09-24T12:02:37.440Z,2020-09-24T12:02:37.440Z,0.0
1806,gate,Safe,0x0001,true,0x00000000,2020-09-24T12:02:37.440Z,2020-09-24T12:02:37.440Z,0.0
1807,qc,DistanceY,0x000b,41.0752666444,0x00000000,2020-09-24T12:02:37.510Z,2020-09-24T12:02:37.510Z,0.0
1808,qc,DistanceAbs,0x000b,43.867426576599996,0x00000000,2020-09-24T12:02:37.510Z,2020-09-24T12:02:37.510Z,0.0
1809,qc,DistanceX,0x000b,15.4004410505,0x00000000,2020-09-24T12:02:37.510Z,2020-09-24T12:02:37.510Z,0.0
1810,qc,ResultCode,0x0006,1.0,0x00000000,2020-09-24T12:02:37.510Z,2020-09-24T12:02:37.510Z,0.0
1811,rp,527,0x0007,3198150065,0x00000000,2020-09-24T12:02:37.603Z,2020-09-24T12:02:37.603Z,0.0
1812,rp,528,0x0007,3187226825,0x00000000,2020-09-24T12:02:37.605Z,2020-09-24T12:02:37.605Z,0.0
1813,rp,529,0x0007,1053883961,0x00000000,2020-09-24T12:02:37.608Z,2020-09-24T12:02:37.608Z,0.0
1814,store,DiscSize,0x0003,2,0x00000000,2020-09-24T12:02:37.648Z,2020-09-24T12:02:37.648Z,0.0
1815,gate,Speed,0x000b,0,0x00000000,2020-09-24T12:02:37.740Z,2020-09-24T12:02:37.740Z,0.0
1816,gate,Safe,0x0001,true,0x00000000,2020-09-24T12:02:37.740Z,2020-09-24T12:02:37.740Z,0.0
1817,gate,Position,0x000b,0.3,0x00000000,2020-09-24T12:02:37.740Z,2020-09-24T12:02:37.740Z,0.0
