,drop_white_pos_y,drop_white_pos_z,drop_white_pos_x,drop_black_pos_x,drop_black_pos_y,drop_black_pos_z,max_belt,quality,dx,dy,da
404,-0.690033593718687,-1.4360594697125748,-1.1953754838421573,-1.1953628992493588,0.7367422873728241,-1.5580483447844669,0.0,0.0,0.6507228612899999,0.645161256194,0.9163368860299999
405,-0.6077299788650544,-1.3508283568280086,-1.1903163559258039,-1.1903141525884224,0.82098919021354,-1.3970005503816063,0.0,1.0,13.6651800871,25.8064502478,29.2011989686
406,-0.6161732934033438,-1.3552052160296202,-1.2162001794808839,-1.2163157110030933,0.8191453774894426,-0.5986454215057923,0.0,1.0,14.3159029484,52.6881692559,54.5984272371
407,-0.6067309106079448,-1.3512791426329347,-1.1645615521405943,-1.1645822750588997,0.8183591982755403,-1.1918416325466443,0.0,1.0,14.3159029484,26.2365577519,29.8881588576
408,-0.4576828979964347,-1.3497355768393464,-1.1968510823521123,-1.1971022389963324,0.7200786950263635,-1.070267537071276,0.0,1.0,15.4004410505,4.30107504129,15.989772702
409,-0.6019784649639571,-1.3209586075467568,-1.1645973232102234,-1.1646188682382093,0.8257792059338758,-1.1624690182388737,0.0,0.0,0.0,0.645161256194,0.645161256194
410,0.23885403172034103,-1.0307938664140597,-1.2738614565752462,-1.2731238514922083,0.648710293495446,-1.5435377310019418,0.0,1.0,0.6507228612899999,4.73118254542,4.775722827
411,-0.05049545141417977,-1.1276669928411742,-1.2639797621427298,-1.2637149827535552,0.724360149172837,-1.4617426841051855,0.0,1.0,1.08453810215,5.376343801619999,5.4846417903299995
412,-0.3978551904498735,-1.361886045657127,-1.2275619452775781,-1.227733322674312,0.6492727592252128,-0.884006795586337,0.0,1.0,4.121244788169999,1.9354837685799997,4.55310399864
413,0.11886526868899788,-1.0496622320491233,-1.2640943787752101,-1.2636725120255852,0.7245828131420586,-1.4467796175656518,0.0,1.0,16.0511639118,15.0537626445,22.0058090667
414,-0.39578335088563327,-1.3212898132394677,-1.224346430723453,-1.224592718473387,0.7217345097215146,-0.8335618840118593,0.0,1.0,4.3381524086,4.51612879336,6.2621869661
415,-0.43938182431714945,-1.3392069486120177,-1.1964682151122665,-1.1967266052270862,0.7206382611948331,-0.9763635713500579,0.0,1.0,0.0,4.9462362974900005,4.9462362974900005
416,-0.04927463792030329,-1.1847947392120326,-1.2736005276137108,-1.2732290801155721,0.6442804178478719,-1.5753298844815613,0.0,1.0,5.422690510750001,3.4408600330400003,6.42223404606
417,-0.6112859221558241,-1.3480524503885944,-1.190124042264102,-1.1901111917638396,0.8216089449742568,-1.4660269273033024,0.0,1.0,0.0,0.0,0.0
418,-0.6836497159894858,-1.4408766935198836,-1.1953908062695577,-1.195383574034047,0.7350585509289799,-1.5202744751813129,0.0,0.0,0.21690762043,0.645161256194,0.680648192751
419,-0.691174446801512,-1.438469135771877,-1.1520939940051578,-1.1521845623684182,0.7332510026711927,-0.7746411357626379,0.0,0.0,0.43381524086,0.430107504129,0.610891257353
420,-0.68977618144259,-1.4375825168530723,-1.2091716518743076,-1.2092775339523552,0.7360354120154222,-0.6561562237973468,0.0,0.0,0.21690762043,0.645161256194,0.680648192751
421,-0.6052776627229293,-1.3231789876342095,-1.1644766262539015,-1.1645296926759439,0.8265329906351735,-0.968149194153808,0.0,1.0,0.0,0.0,0.0
422,0.21899657813718648,-1.0012390416012096,-1.264208547622987,-1.2636136899049877,0.7242234606238115,-1.4057911819938438,0.0,1.0,15.834256291400001,0.21505375206500002,15.8357166058
423,-0.3406929827481515,-1.3124886183116784,-1.2528895353014655,-1.2529559039425304,0.6491702795431438,-1.2270535103084992,0.0,1.0,1.08453810215,4.51612879336,4.64452819705
424,-0.5959990087101082,-1.723256260164381,0.8068566611670496,0.8068531943763757,-1.7277945131094539,-1.4888808537728653,0.0,1.0,0.43381524086,4.9462362974900005,4.965223980219999
425,-0.16384987775965865,-1.1990576781013507,-1.2638265670737572,-1.263695214881268,0.7250909325888123,-1.4971460142047122,0.0,1.0,1.95216858387,6.02150505781,6.33004623531
426,-0.43938779857286114,-1.3403882730993308,-1.2069397855523967,-1.2071902238506396,0.7211567473928534,-0.976768582098189,0.0,1.0,9.32702767849,2.36559127271,9.62234209457
427,-0.12621994294115418,-1.1747168334933806,-1.26388074112055,-1.2637023809564962,0.7237230175530246,-1.4946311914288994,0.0,1.0,13.0144572258,7.741935074330001,15.143105876199998
428,-0.6628231831062205,-1.383261795668575,-1.1989303294209275,-1.1989394529625435,0.753000280198195,-1.3174133887209318,0.0,0.0,0.86763048172,0.860215008259,1.22178251471
429,0.3155600720525571,-0.9399363876707395,-1.2450938778678695,-1.2444525992318751,0.7212329173834875,-1.2888685626437708,0.0,1.0,16.7018867731,1.07526876032,16.7364639243
430,-0.6074197527384516,-1.348155789493682,-1.1800662532064998,-1.1800680538735513,0.8202957451273248,-1.3337691982537667,0.0,1.0,14.5328105688,16.1290314049,21.7105558908
431,-0.13763135491598855,-1.1634187456234744,-1.2638959918998844,-1.2637214449703047,0.7222501455717724,-1.4774242694469364,0.0,1.0,4.98887526989,3.8709675371599994,6.31452817971
432,-0.6839555880195718,-1.413122633144856,-1.180485361857331,-1.1805026457585726,0.7415252590443433,-1.315503012838857,0.0,0.0,0.0,0.860215008259,0.860215008259
433,-0.23542463570574113,-1.2651014982805049,-1.253120804812689,-1.253243443527999,0.7154080136232935,-0.4955130505792531,0.0,1.0,15.617348670999998,0.0,15.617348670999998
434,0.16623976642911514,-1.0241032982562515,-1.2641718454289037,-1.263640700632698,0.7221660140076753,-1.3905967014524032,0.0,1.0,4.555060029030001,4.9462362974900005,6.7241226475
435,0.27356943310301146,-0.9386057073653538,-1.2748543763668256,-1.2741879602082424,0.7347948134313886,-1.3567511369530958,0.0,1.0,0.43381524086,5.376343801619999,5.3938176031800005
436,-0.6852536564527146,-1.4375066333846565,-1.1859604371329988,-1.1859515724224126,0.7361029497589043,-1.5161971302983814,0.0,0.0,0.0,0.860215008259,0.860215008259
437,-0.23752843845760008,-1.2836196436586258,-1.263700370874628,-1.2636927579420751,0.6501193288053778,-0.6558551574704533,0.0,1.0,4.3381524086,3.6559137851,5.6732064940699996
438,-0.6892144943537141,-1.4389298020198238,-1.2047417675176055,-1.2047296322837595,0.7357630735841726,-1.5620025470867225,0.0,0.0,0.21690762043,0.860215008259,0.887140787155
