,quality,dx,dy,da
0,0.0,-0.6538895233876706,-0.5457728316237076,-0.7179622094317393
1,1.0,-0.5076287876930623,0.038569006243792135,-0.22569034668584614
2,0.0,-0.6173243394640185,-0.45812155594394266,-0.6416504016821333
3,1.0,1.6862822477176345,-0.0490822694358369,0.8805499286300026
4,1.0,2.1250644548082027,-0.5749899235170078,1.1084497754030882
5,0.0,-0.6173243394640185,-0.5165557397302715,-0.6846639857826048
6,0.0,-0.6538895233876706,-0.48733864783683534,-0.6723137389886397
7,0.0,-0.6904547073113227,-0.5165557397302715,-0.6995586027958471
8,0.0,-0.6538895233876706,-0.5165557397302715,-0.6955630716466182
9,1.0,-0.32480286807480174,0.09700319003066432,-0.14184816614472556
10,1.0,-0.5807591555403665,0.09700319003066432,-0.1864800272001095
11,0.0,-0.5807591555403665,-0.45812155594394266,-0.6306888740702509
12,1.0,-0.2882376841511497,0.06778609813790758,-0.1538851416379149
13,0.0,-0.6904547073113227,-0.48733864783683534,-0.675345355654773
14,1.0,-0.6173243394640185,0.009351914351035282,-0.2613795881613778
15,1.0,1.7959777994902768,-0.5749899235170078,0.8886726099278418
16,1.0,-0.6538895233876706,0.09700319003066432,-0.19056746200513106
17,1.0,-0.6904547073113227,-0.604207015410444,-0.7721983442189568
18,1.0,0.040848971161719184,0.09700319003066432,-0.013073033442307659
19,1.0,-0.5076287876930623,0.09700319003066432,-0.1783895581758568
20,1.0,1.7959777994902768,-0.45812155594394266,0.8929031777465617
21,1.0,-0.39793323592210594,-0.019865177543080165,-0.2500065740705368
22,1.0,1.6862822477176345,-0.48733864783683534,0.8181820480373365
23,1.0,3.80706291529957,1.5578577847024706,2.725502468897107
24,0.0,-0.6904547073113227,-0.45812155594394266,-0.6511321085141493
25,0.0,-0.6904547073113227,-0.5165557397302715,-0.6995586027958471
26,1.0,-0.5441939716167143,0.12622028192477963,-0.15903542688977482
27,1.0,-0.06884658060923707,-0.0490822694358369,-0.15250754187451596
28,1.0,-0.2882376841511497,0.038569006243792135,-0.17560086155888865
29,0.0,-0.6538895233876706,-0.5457728316237076,-0.7179622094317393
30,0.0,-0.6538895233876706,-0.604207015410444,-0.7477763670629086
31,1.0,-0.5441939716167143,0.18465446571165206,-0.11118244255991741
32,0.0,-0.6904547073113227,-0.5457728316237076,-0.7237718499369212
33,0.0,-0.6904547073113227,-0.42890446404982724,-0.6269188613725123
34,0.0,-0.6538895233876706,-0.48733864783683534,-0.6723137389886397
35,1.0,-0.6173243394640185,0.12622028192477963,-0.16489976232674752
36,0.0,-0.6538895233876706,-0.5749899235170078,-0.7378077305965469
37,0.0,-0.6904547073113227,-0.48733864783683534,-0.675345355654773
38,1.0,-0.6904547073113227,0.09700319003066432,-0.19108041283430446
39,0.0,-0.6538895233876706,-0.5749899235170078,-0.7378077305965469
40,0.0,-0.6173243394640185,-0.5165557397302715,-0.6846639857826048
41,1.0,0.9184133853293693,-0.22438482079645367,0.3475229480794661
42,0.0,-0.6173243394640185,-0.5165557397302715,-0.6846639857826048
43,1.0,1.5765866959618502,-0.48733864783683534,0.7450586647235454
44,0.0,-0.6904547073113227,-0.5457728316237076,-0.7237718499369212
45,0.0,-0.6904547073113227,-0.5457728316237076,-0.7237718499369212
46,0.0,-0.6173243394640185,-0.48733864783683534,-0.6637260746444091
47,1.0,-0.39793323592210594,0.09700319003066432,-0.15911616364114864
48,1.0,-0.5441939716167143,0.1554373738175366,-0.13511976870455766
49,1.0,2.1250644548082027,-0.34125318837019825,1.1208784785269512
50,1.0,1.7959777994902768,-0.28281900458332593,0.909719039843837
51,1.0,-0.2882376841511497,0.09700319003066432,-0.13199022233118998
52,0.0,-0.6538895233876706,-0.5165557397302715,-0.6955630716466182
53,1.0,1.9422385351983709,-0.5165557397302715,0.987683765249474
54,1.0,-0.32480286807480174,0.038569006243792135,-0.18619197566689055
55,0.0,-0.6173243394640185,-0.48733864783683534,-0.6637260746444091
56,1.0,1.978803719116966,2.3175021739331685,2.2346612565508326
57,1.0,1.7228474316530868,-0.31203609647608277,0.8577372812745869
58,0.0,-0.6173243394640185,-0.42890446404982724,-0.6189277990745048
59,1.0,-0.17854213238019337,-0.28281900458332593,-0.33879217956556795
60,0.0,-0.6538895233876706,-0.5165557397302715,-0.6955630716466182
61,1.0,-0.2882376841511497,0.09700319003066432,-0.13199022233118998
62,1.0,0.0042837872380669766,-0.07829936132995247,-0.13559214353574633
63,1.0,-0.6538895233876706,-0.019865177543080165,-0.2873179797853725
64,0.0,-0.6538895233876706,-0.5457728316237076,-0.7179622094317393
65,1.0,1.4303259602537557,-0.31203609647608277,0.6648224067687778
66,0.0,-0.6538895233876706,-0.5457728316237076,-0.7179622094317393
67,1.0,-0.5076287876930623,0.009351914351035282,-0.249263459293684
68,0.0,-0.6173243394640185,-0.5165557397302715,-0.6846639857826048
69,0.0,-0.6538895233876706,-0.5457728316237076,-0.7179622094317393
70,0.0,-0.6538895233876706,-0.5457728316237076,-0.7179622094317393
71,0.0,-0.6904547073113227,-0.48733864783683534,-0.675345355654773
72,1.0,1.5765866959618502,-0.48733864783683534,0.7450586647235454
73,1.0,-0.6904547073113227,-0.604207015410444,-0.7721983442189568
74,0.0,-0.6538895233876706,-0.42890446404982724,-0.6248804528944347
75,1.0,-0.032281396685585,-0.1075164532227092,-0.16996949392595362
76,0.0,-0.6904547073113227,-0.5749899235170078,-0.7479850970778827
77,1.0,-0.6904547073113227,-0.604207015410444,-0.7721983442189568
78,0.0,-0.6173243394640185,-0.48733864783683534,-0.6637260746444091
79,1.0,-0.21510731630384544,0.09700319003066432,-0.1100086268384838
80,1.0,0.1139793390090233,-0.13673354511546598,-0.10980753894211764
81,1.0,-0.6538895233876706,0.09700319003066432,-0.19056746200513106
82,1.0,-0.5441939716167143,0.12622028192477963,-0.15903542688977482
83,1.0,-0.6538895233876706,0.09700319003066432,-0.19056746200513106
84,0.0,-0.5807591555403665,-0.45812155594394266,-0.6306888740702509
85,1.0,-0.17854213238019337,-0.16595063700958143,-0.273385591154167
86,0.0,-0.6173243394640185,-0.48733864783683534,-0.6637260746444091
87,1.0,-0.5076287876930623,-0.0490822694358369,-0.2962168457303968
88,0.0,-0.6904547073113227,-0.48733864783683534,-0.675345355654773
89,1.0,-0.5807591555403665,0.1554373738175366,-0.13840493891873076
90,1.0,-0.5076287876930623,0.1554373738175366,-0.1309207069252035
91,0.0,-0.6538895233876706,-0.45812155594394266,-0.648693419636317
92,1.0,-0.3613680519984539,-0.37047028026295503,-0.4792255195402249
93,1.0,-0.5807591555403665,0.2138715576044088,-0.09028011964143445
94,0.0,-0.6173243394640185,-0.48733864783683534,-0.6637260746444091
95,0.0,-0.6904547073113227,-0.5457728316237076,-0.7237718499369212
96,1.0,0.1505445229326755,-0.13673354511546598,-0.08984868130065415
97,0.0,-0.6173243394640185,-0.5165557397302715,-0.6846639857826048
98,0.0,-0.6538895233876706,-0.5165557397302715,-0.6955630716466182
99,1.0,-0.21510731630384544,-0.0490822694358369,-0.21323078315215543
100,0.0,-0.6538895233876706,-0.45812155594394266,-0.648693419636317
101,1.0,1.5034563281078028,-0.0490822694358369,0.7636422231059383
102,0.0,-0.6538895233876706,-0.5165557397302715,-0.6955630716466182
103,1.0,-0.3613680519984539,0.09700319003066432,-0.15090202151739307
104,0.0,-0.6904547073113227,-0.48733864783683534,-0.675345355654773
105,1.0,-0.434498419845758,-0.019865177543080165,-0.25864430588686854
106,1.0,-0.5076287876930623,0.009351914351035282,-0.249263459293684
107,0.0,-0.6904547073113227,-0.5457728316237076,-0.7237718499369212
108,1.0,-0.5807591555403665,0.12622028192477963,-0.16244943490535604
109,1.0,-0.6538895233876706,0.06778609813790758,-0.21475842790424926
110,0.0,-0.6538895233876706,-0.5165557397302715,-0.6955630716466182
111,1.0,-0.25167250022749765,0.06778609813790758,-0.14288985487890074
112,0.0,-0.6173243394640185,-0.5457728316237076,-0.7034171169742496
113,0.0,-0.6538895233876706,-0.5457728316237076,-0.7179622094317393
114,0.0,-0.5441939716167143,-0.5749899235170078,-0.6715543735674964
115,1.0,-0.2882376841511497,0.09700319003066432,-0.13199022233118998
116,1.0,1.978803719116966,2.7849756442227114,2.5545708031370555
117,1.0,1.7594126155716818,3.836790952380978,3.2555592958312425
118,0.0,-0.6538895233876706,-0.48733864783683534,-0.6723137389886397
119,1.0,-0.5807591555403665,0.1554373738175366,-0.13840493891873076
120,1.0,-0.6173243394640185,0.1554373738175366,-0.14076195331249433
121,1.0,1.9056733512629187,2.200633806353989,2.127764999612523
122,0.0,-0.5441939716167143,-0.48733864783683534,-0.634635889729092
123,1.0,-0.14197694845654132,0.12622028192477963,-0.06465099347655301
124,1.0,2.234760006580845,0.06778609813790758,1.2593808011451748
125,1.0,-0.21510731630384544,0.06778609813790758,-0.1311523248414649
126,0.0,-0.6173243394640185,-0.5457728316237076,-0.7034171169742496
127,1.0,2.0153689030355606,0.3599570170722686,1.203789335402911
128,1.0,-0.3613680519984539,0.09700319003066432,-0.15090202151739307
129,1.0,1.613151879880445,0.09700319003066432,0.8724719877907514
130,0.0,-0.6904547073113227,-0.48733864783683534,-0.675345355654773
131,1.0,-0.6904547073113227,-0.604207015410444,-0.7721983442189568
132,1.0,1.7594126155716818,-0.28281900458332593,0.8856097375839639
133,1.0,0.040848971161719184,-0.1075164532227092,-0.13344291863705715
134,1.0,0.369935626474588,-0.22438482079645367,0.002838217652128646
135,0.0,-0.6538895233876706,-0.5165557397302715,-0.6955630716466182
136,0.0,-0.6173243394640185,-0.45812155594394266,-0.6416504016821333
137,1.0,1.7594126155716818,-0.2536019126892105,0.8896717189410424
138,0.0,-0.6538895233876706,-0.5457728316237076,-0.7179622094317393
139,0.0,-0.6538895233876706,-0.5165557397302715,-0.6955630716466182
140,1.0,-0.5807591555403665,0.12622028192477963,-0.16244943490535604
141,1.0,1.6497170637990397,0.33073992517815326,0.9723192186030948
142,0.0,-0.6538895233876706,-0.5457728316237076,-0.7179622094317393
143,1.0,-0.5076287876930623,0.12622028192477963,-0.15467372130801002
144,1.0,1.7228474316530868,-0.5749899235170078,0.8398340037350054
145,1.0,-0.6538895233876706,0.09700319003066432,-0.19056746200513106
146,1.0,-0.3613680519984539,0.06778609813790758,-0.1734881490841624
147,1.0,2.0884992708896077,1.1780355900803285,1.5998365795896954
148,1.0,-0.21510731630384544,-0.0490822694358369,-0.21323078315215543
149,1.0,1.7959777994902768,3.9244422280619653,3.3318624702821977
150,1.0,-0.6173243394640185,0.18465446571165206,-0.1166185804771099
151,1.0,0.1139793390090233,-0.13673354511546598,-0.10980753894211764
152,1.0,-0.6538895233876706,0.12622028192477963,-0.1663747158717294
153,0.0,-0.6904547073113227,-0.5165557397302715,-0.6995586027958471
154,1.0,1.978803719116966,0.8566475792545691,1.3828178112631
155,1.0,-0.1054117645328892,-0.07829936132995247,-0.18684204837344287
156,1.0,-0.6538895233876706,-0.34125318837019825,-0.5529149174075084
157,1.0,-0.32480286807480174,0.06778609813790758,-0.1640979214642719
158,0.0,-0.6538895233876706,-0.5457728316237076,-0.7179622094317393
159,1.0,-0.6173243394640185,0.12622028192477963,-0.16489976232674752
160,1.0,-0.5441939716167143,0.06778609813790758,-0.20679074361146804
161,0.0,-0.5807591555403665,-0.5165557397302715,-0.6690265033518398
162,1.0,-0.434498419845758,0.06778609813790758,-0.189645305625025
163,1.0,-0.4710636037694102,0.06778609813790758,-0.19633862676291644
164,0.0,-0.6538895233876706,-0.5457728316237076,-0.7179622094317393
165,0.0,-0.6173243394640185,-0.5457728316237076,-0.7034171169742496
166,0.0,-0.6904547073113227,-0.42890446404982724,-0.6269188613725123
167,0.0,-0.6173243394640185,-0.48733864783683534,-0.6637260746444091
168,1.0,-0.5807591555403665,0.09700319003066432,-0.1864800272001095
169,1.0,-0.5076287876930623,0.09700319003066432,-0.1783895581758568
170,1.0,1.5400215120263974,-0.5165557397302715,0.7193121675614618
171,0.0,-0.6904547073113227,-0.5165557397302715,-0.6995586027958471
172,1.0,-0.25167250022749765,-0.07829936132995247,-0.24699219360129507
173,0.0,-0.6173243394640185,-0.5165557397302715,-0.6846639857826048
