;drop_white_pos_y;drop_white_pos_z;drop_white_pos_x;drop_black_pos_x;drop_black_pos_y;drop_black_pos_z;max_belt;quality
0;-0.001044527;-1.157454271;-1.263945619;-1.263517101;0.650398609;-1.596705692;0;1
1;-0.690337301;-1.437711112;-1.195269481;-1.195391239;0.735992023;-0.584230281;0;0
2;-0.670648764;-1.372701638;-1.190031849;-1.190107059;0.748884592;-0.883215857;0;0
3;-0.522325549;-0.875873178;-0.861006448;-0.861066672;0.600038248;-0.500726898;0;0
4;-0.685372554;-1.40838708;-1.204367263;-1.204380721;0.741118493;-1.34348528;0;0
5;-0.689872494;-1.437619034;-1.195337926;-1.19544645;0.734704024;-0.716732844;0;0
6;-0.68948054;-1.405941544;-1.180680558;-1.180762949;0.742519977;-0.800291298;0;0
7;-0.681897197;-1.445531454;-1.179947985;-1.179948318;0.736485264;-1.471204205;0;0
8;-0.63804811;-1.6890027;0.80733654;0.807336099;-1.59486847;-1.889164147;0;1
9;-0.338158827;-1.338761552;-1.237189187;-1.237261449;0.647851953;-0.91508075;0;1
10;0.35285943;-0.935276015;-1.246899619;-1.246090814;0.659198523;-1.503022085;0;1
11;-0.66906585;-1.37833645;-1.213832538;-1.213869679;0.749211116;-1.109330325;0;0
12;-0.689183625;-1.436619194;-1.195394275;-1.195525876;0.734615946;-0.564156131;0;0
13;-0.245893159;-1.288210428;-1.263658344;-1.263638362;0.649203656;-0.758398001;0;1
14;-0.127701638;-1.206289065;-1.263791381;-1.263664038;0.649676382;-0.594780707;0;1
15;-0.690862228;-1.436132834;-1.161441333;-1.161538948;0.733722358;-0.77494105;0;0
16;-0.446839056;-1.407463281;-1.217591572;-1.217749933;0.64248619;-1.126750416;0;1
17;-0.564958384;-1.677819412;0.806435197;0.80643151;-1.682878918;-1.509019585;0;1
18;-0.684183251;-1.412901613;-1.204062419;-1.204090124;0.741062199;-1.218815261;0;0
19;0.001458104;-1.161964555;-1.273676913;-1.273446314;0.65034036;-0.551601109;0;1
20;-0.690603339;-1.439204818;-1.180574608;-1.180667488;0.732505491;-0.834109928;0;0
21;-0.680415633;-1.445022332;-1.170505067;-1.170504328;0.735563315;-1.473958212;0;0
22;-0.690606465;-1.43647974;-1.195191474;-1.195291749;0.734021569;-0.776106932;0;0
23;-0.039331815;-1.159103547;-1.263936003;-1.263565229;0.649945541;-1.594223809;0;1
24;-0.690630981;-1.440483906;-1.204564075;-1.204561488;0.734362685;-1.486035844;0;0
25;0.238854032;-1.030793866;-1.273861457;-1.273123851;0.648710293;-1.543537731;0;1
26;-0.040482768;-1.181779897;-1.263880307;-1.263501473;0.64872942;-1.596086997;0;1
27;-0.595999009;-1.72325626;0.806856661;0.806853194;-1.727794513;-1.488880854;0;1
28;-0.687086441;-1.435769955;-1.195400435;-1.195527421;0.736243065;-0.569158943;0;0
29;-0.56143072;-1.786630192;0.807012266;0.807008588;-1.726678778;-1.551807064;0;1
