;drop_white_pos_y;drop_white_pos_z;drop_white_pos_x;drop_black_pos_x;drop_black_pos_y;drop_black_pos_z;max_belt;quality
70;-0.075625151;-1.171733228;-1.237040621;-1.236825265;0.65863178;-0.790569868;0;1
71;-0.207734336;-1.270862693;-1.263645654;-1.263625715;0.650592511;-0.769669152;0;1
72;-0.683955588;-1.413122633;-1.180485362;-1.180502646;0.741525259;-1.315503013;0;0
73;-0.12917613;-1.223797361;-1.253977608;-1.253849654;0.649576198;-0.595714412;0;1
74;-0.690441483;-1.438227837;-1.195303177;-1.19541811;0.733882158;-0.634774422;0;0
75;-0.680900946;-1.408253495;-1.180747667;-1.180750313;0.742389761;-1.417160402;0;0
76;0.287588571;-0.966858553;-1.236571417;-1.235770319;0.648779558;-1.502684062;0;1
77;-0.691303945;-1.437153741;-1.18581258;-1.185925584;0.733442908;-0.656588513;0;0
78;0.387285262;-0.91706297;-1.236641684;-1.235767025;0.647523516;-1.503239946;0;1
79;-0.682740254;-1.411260376;-1.156378677;-1.156401128;0.742483394;-1.251088288;0;0
80;-0.684864798;-1.440772123;-1.195421036;-1.195411507;0.735259645;-1.533856952;0;0
81;-0.683726344;-1.40935685;-1.204486356;-1.20451824;0.7416191;-1.17696855;0;0
82;-0.290880737;-1.286878047;-1.247209679;-1.2472173;0.656995737;-1.032638216;0;1
83;-0.685261157;-1.411395595;-1.204301334;-1.204326178;0.740670145;-1.211769282;0;0
84;-0.681243989;-1.413978826;-1.180552437;-1.180561665;0.741587934;-1.34605002;0;0
85;-0.684189467;-1.409646679;-1.180158972;-1.180180476;0.740118979;-1.24995416;0;0
86;-0.682619176;-1.410350352;-1.18056917;-1.180574547;0.740901627;-1.392319081;0;0
87;0.294844657;-1.244418937;-1.11740068;-1.116615562;0.640849074;-1.811556227;0;1
88;-0.686341546;-1.411057304;-1.204269715;-1.204301927;0.741069677;-1.175312327;0;0
89;-0.683629986;-1.408664935;-1.180903892;-1.180909472;0.740647642;-1.392460121;0;0
90;-0.085369332;-1.181814303;-1.26386289;-1.263545391;0.650496155;-1.592217502;0;1
91;-0.307240908;-1.316372753;-1.227235595;-1.227300583;0.647631238;-0.915021143;0;1
92;-0.691827003;-1.40435939;-1.180648643;-1.180724553;0.741756479;-0.815893369;0;0
93;-0.68855763;-1.40953948;-1.195138185;-1.195203992;0.742776215;-0.975238246;0;0
94;0.285850703;-0.998252862;-1.264099603;-1.263287396;0.649735965;-1.55837211;0;1
95;-0.684836624;-1.413347266;-1.204400579;-1.20443303;0.739404852;-1.22038059;0;0
96;-0.689601828;-1.434746822;-1.195275147;-1.195412559;0.735322489;-0.516139339;0;0
97;-0.683649716;-1.440876694;-1.195390806;-1.195383574;0.735058551;-1.520274475;0;0
98;0.337674253;-0.971743814;-1.236968567;-1.236094145;0.650020824;-1.520639247;0;1
99;-0.689558161;-1.435978104;-1.195329854;-1.195459903;0.735232079;-0.557514927;0;0
100;-0.007148588;-1.159917991;-1.263945003;-1.2635179;0.649721301;-1.594855547;0;1
101;0.088150906;-1.10885742;-1.264075011;-1.263527724;0.650353883;-1.591820941;0;1
102;-0.684430594;-1.410215321;-1.179875507;-1.179902251;0.742576417;-1.245214396;0;0
103;-0.2380861;-1.255160443;-1.247066372;-1.247025898;0.65214311;-0.893267311;0;1
104;-0.685366361;-1.409917625;-1.18010885;-1.180135165;0.74191799;-1.24620584;0;0
105;-0.671933221;-1.405084445;-1.204709765;-1.204810543;0.744253983;-0.662318428;0;0
106;-0.682880711;-1.411100408;-1.179867606;-1.179889382;0.74286666;-1.248405173;0;0
107;-0.687804235;-1.435383726;-1.195391345;-1.19537825;0.73519911;-1.558917136;0;0
108;-0.683335347;-1.440631643;-1.185949833;-1.18594355;0.73485923;-1.500288339;0;0
109;-0.129175183;-1.229082369;-1.263774582;-1.263642317;0.64888376;-0.60471736;0;1
110;-0.682142422;-1.40975494;-1.180659535;-1.180666156;0.740782881;-1.394682533;0;0
111;-0.686665306;-1.440596288;-1.186017485;-1.186006125;0.733852883;-1.54651872;0;0
112;-0.689149734;-1.433499339;-1.195345188;-1.19547598;0.734081423;-0.501562445;0;0
113;-0.67299827;-1.408932107;-1.189975001;-1.189988088;0.746484635;-1.34079451;0;0
114;-0.423852649;-1.394562289;-1.237211904;-1.237346518;0.638593237;-1.126574118;0;1
115;-0.690660168;-1.437063941;-1.170865177;-1.170955957;0.733694951;-0.769953546;0;0
116;-0.688142565;-1.409291042;-1.213878764;-1.213932743;0.744096726;-1.000097423;0;0
117;-0.211700367;-1.265981957;-1.27345078;-1.273429657;0.647934974;-0.761614603;0;1
118;-0.688897467;-1.436421144;-1.19539584;-1.195383211;0.736860513;-1.55875561;0;0
119;0.232895668;-1.024676254;-1.226727203;-1.225997276;0.648471765;-1.502434551;0;1
120;-0.628429852;-1.701851733;0.877452883;-1.135442142;-0.361195761;-1.317934148;0;1
121;-0.667851749;-1.37761073;-1.223034261;-1.223082255;0.751509049;-1.063838847;0;0
122;-0.557934278;-1.819348119;0.801150848;0.801146819;-1.723644855;-1.593889425;0;1
123;-0.680760957;-1.408820612;-1.17142407;-1.171433893;0.742756747;-1.369974292;0;0
124;-0.689214494;-1.438929802;-1.204741768;-1.204729632;0.735763074;-1.562002547;0;0
125;-0.687045192;-1.40883062;-1.204482142;-1.204520654;0.741310632;-1.135055594;0;0
126;-0.683175633;-1.4074048;-1.180553964;-1.18056717;0.741643064;-1.309494919;0;0
127;-0.686021959;-1.406447565;-1.204340156;-1.204371406;0.741215938;-1.174423182;0;0
128;0.240382468;-0.995154326;-1.236869989;-1.236140839;0.650737606;-1.519376192;0;1
129;-0.680765185;-1.410090714;-1.180519786;-1.180522662;0.741887897;-1.418010964;0;0
130;-0.000365694;-1.162078154;-1.263928289;-1.263501135;0.649939747;-1.598515824;0;1
131;-0.132143327;-1.227069603;-1.263822952;-1.263690996;0.647376327;-0.653668702;0;1
