,level_0,PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp,RobPos
2688,store,DiscSize,0x0003,2,0x00000000,2020-10-12T09:28:44.197Z,2020-10-12 09:27:49.197000+00:00,0.0
2689,qc,DistanceY,0x000b,2.79569877684,0x00000000,2020-10-12T09:28:44.218Z,2020-10-12 09:27:49.218000+00:00,0.0
2690,qc,DistanceX,0x000b,3.03670668602,0x00000000,2020-10-12T09:28:44.218Z,2020-10-12 09:27:49.218000+00:00,0.0
2691,qc,DistanceAbs,0x000b,4.12765298296,0x00000000,2020-10-12T09:28:44.218Z,2020-10-12 09:27:49.218000+00:00,0.0
2692,rp,527,0x0007,3198142616,0x00000000,2020-10-12T09:27:49.229Z,2020-10-12 09:27:49.229000+00:00,0.0
2693,rp,529,0x0007,1053888154,0x00000000,2020-10-12T09:27:49.232Z,2020-10-12 09:27:49.232000+00:00,0.0
2694,rp,528,0x0007,3187231828,0x00000000,2020-10-12T09:27:49.232Z,2020-10-12 09:27:49.232000+00:00,0.0
2695,gate,Speed,0x000b,-30,0x00000000,2020-10-12T09:28:44.468Z,2020-10-12 09:27:49.468000+00:00,0.0
2696,gate,Position,0x000b,60.1,0x00000000,2020-10-12T09:28:44.468Z,2020-10-12 09:27:49.468000+00:00,0.0
2697,gate,Safe,0x0001,false,0x00000000,2020-10-12T09:28:44.468Z,2020-10-12 09:27:49.468000+00:00,0.0
2698,rp,527,0x0007,3198142710,0x00000000,2020-10-12T09:27:49.480Z,2020-10-12 09:27:49.480000+00:00,0.0
2699,rp,528,0x0007,3187231814,0x00000000,2020-10-12T09:27:49.482Z,2020-10-12 09:27:49.482000+00:00,0.0
2700,rp,529,0x0007,1053888174,0x00000000,2020-10-12T09:27:49.483Z,2020-10-12 09:27:49.483000+00:00,0.0
2701,store,DiscSize,0x0003,2,0x00000000,2020-10-12T09:28:44.497Z,2020-10-12 09:27:49.497000+00:00,0.0
2702,qc,DistanceX,0x000b,3.03670668602,0x00000000,2020-10-12T09:28:44.518Z,2020-10-12 09:27:49.518000+00:00,0.0
2703,qc,DistanceY,0x000b,2.79569877684,0x00000000,2020-10-12T09:28:44.518Z,2020-10-12 09:27:49.518000+00:00,0.0
