,level_0,PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp,RobPos
64312,store,DiscSize,0x0003,2,0x00000000,2020-10-12T09:57:51.697Z,2020-10-12 09:56:56.697000+00:00,0.0
64313,qc,DistanceX,0x000b,3.03670668602,0x00000000,2020-10-12T09:57:51.718Z,2020-10-12 09:56:56.718000+00:00,0.0
64314,qc,DistanceY,0x000b,5.8064513057500005,0x00000000,2020-10-12T09:57:51.718Z,2020-10-12 09:56:56.718000+00:00,0.0
64315,qc,DistanceAbs,0x000b,6.5525921788999995,0x00000000,2020-10-12T09:57:51.718Z,2020-10-12 09:56:56.718000+00:00,0.0
64316,rp,528,0x0007,3190734021,0x00000000,2020-10-12T09:56:56.742Z,2020-10-12 09:56:56.742000+00:00,0.0
64317,rp,527,0x0007,1009981125,0x00000000,2020-10-12T09:56:56.742Z,2020-10-12 09:56:56.742000+00:00,0.0
64318,rp,529,0x0007,1054424796,0x00000000,2020-10-12T09:56:56.744Z,2020-10-12 09:56:56.744000+00:00,0.0
64319,gate,Position,0x000b,134.3,0x00000000,2020-10-12T09:57:51.968Z,2020-10-12 09:56:56.968000+00:00,0.0
64320,gate,Safe,0x0001,false,0x00000000,2020-10-12T09:57:51.968Z,2020-10-12 09:56:56.968000+00:00,0.0
64321,gate,Speed,0x000b,-30,0x00000000,2020-10-12T09:57:51.968Z,2020-10-12 09:56:56.968000+00:00,0.0
64322,rp,527,0x0007,3173192587,0x00000000,2020-10-12T09:56:56.982Z,2020-10-12 09:56:56.982000+00:00,0.0
64323,rp,528,0x0007,3190962128,0x00000000,2020-10-12T09:56:56.984Z,2020-10-12 09:56:56.984000+00:00,0.0
64324,rp,529,0x0007,1054425843,0x00000000,2020-10-12T09:56:56.984Z,2020-10-12 09:56:56.984000+00:00,0.0
64325,store,DiscSize,0x0003,0,0x00000000,2020-10-12T09:57:51.997Z,2020-10-12 09:56:56.997000+00:00,0.0
64326,qc,DistanceX,0x000b,3.03670668602,0x00000000,2020-10-12T09:57:52.018Z,2020-10-12 09:56:57.018000+00:00,0.0
64327,qc,DistanceY,0x000b,5.8064513057500005,0x00000000,2020-10-12T09:57:52.018Z,2020-10-12 09:56:57.018000+00:00,0.0
64328,qc,DistanceAbs,0x000b,6.5525921788999995,0x00000000,2020-10-12T09:57:52.018Z,2020-10-12 09:56:57.018000+00:00,0.0
64329,rp,528,0x0007,3190450884,0x00000000,2020-10-12T09:56:57.232Z,2020-10-12 09:56:57.232000+00:00,0.0
64330,rp,527,0x0007,3181558877,0x00000000,2020-10-12T09:56:57.232Z,2020-10-12 09:56:57.232000+00:00,0.0
64331,rp,529,0x0007,1054420375,0x00000000,2020-10-12T09:56:57.235Z,2020-10-12 09:56:57.235000+00:00,0.0
64332,gate,Position,0x000b,124.5,0x00000000,2020-10-12T09:57:52.268Z,2020-10-12 09:56:57.268000+00:00,0.0
64333,gate,Speed,0x000b,-50,0x00000000,2020-10-12T09:57:52.268Z,2020-10-12 09:56:57.268000+00:00,0.0
64334,gate,Safe,0x0001,false,0x00000000,2020-10-12T09:57:52.268Z,2020-10-12 09:56:57.268000+00:00,0.0
64335,store,DiscSize,0x0003,0,0x00000000,2020-10-12T09:57:52.297Z,2020-10-12 09:56:57.297000+00:00,0.0
64336,qc,DistanceAbs,0x000b,6.5525921788999995,0x00000000,2020-10-12T09:57:52.318Z,2020-10-12 09:56:57.318000+00:00,0.0
64337,qc,DistanceX,0x000b,3.03670668602,0x00000000,2020-10-12T09:57:52.318Z,2020-10-12 09:56:57.318000+00:00,0.0
64338,qc,DistanceY,0x000b,5.8064513057500005,0x00000000,2020-10-12T09:57:52.318Z,2020-10-12 09:56:57.318000+00:00,0.0
64339,rp,527,0x0007,3183019668,0x00000000,2020-10-12T09:56:57.480Z,2020-10-12 09:56:57.480000+00:00,0.0
64340,rp,529,0x0007,1054413152,0x00000000,2020-10-12T09:56:57.482Z,2020-10-12 09:56:57.482000+00:00,0.0
64341,rp,528,0x0007,3190212534,0x00000000,2020-10-12T09:56:57.482Z,2020-10-12 09:56:57.482000+00:00,0.0
64342,gate,Position,0x000b,114.8,0x00000000,2020-10-12T09:57:52.568Z,2020-10-12 09:56:57.568000+00:00,0.0
64343,gate,Speed,0x000b,-30,0x00000000,2020-10-12T09:57:52.568Z,2020-10-12 09:56:57.568000+00:00,0.0
64344,gate,Safe,0x0001,false,0x00000000,2020-10-12T09:57:52.568Z,2020-10-12 09:56:57.568000+00:00,0.0
64345,store,DiscSize,0x0003,0,0x00000000,2020-10-12T09:57:52.597Z,2020-10-12 09:56:57.597000+00:00,0.0
64346,qc,DistanceAbs,0x000b,6.5525921788999995,0x00000000,2020-10-12T09:57:52.618Z,2020-10-12 09:56:57.618000+00:00,0.0
64347,qc,DistanceY,0x000b,5.8064513057500005,0x00000000,2020-10-12T09:57:52.618Z,2020-10-12 09:56:57.618000+00:00,0.0
64348,qc,DistanceX,0x000b,3.03670668602,0x00000000,2020-10-12T09:57:52.618Z,2020-10-12 09:56:57.618000+00:00,0.0
64349,rp,527,0x0007,3188469488,0x00000000,2020-10-12T09:56:57.733Z,2020-10-12 09:56:57.733000+00:00,0.0
64350,rp,528,0x0007,3189606583,0x00000000,2020-10-12T09:56:57.733Z,2020-10-12 09:56:57.733000+00:00,0.0
64351,rp,529,0x0007,1054300636,0x00000000,2020-10-12T09:56:57.736Z,2020-10-12 09:56:57.736000+00:00,0.0
64352,gate,Speed,0x000b,-30,0x00000000,2020-10-12T09:57:52.868Z,2020-10-12 09:56:57.868000+00:00,0.0
64353,gate,Safe,0x0001,false,0x00000000,2020-10-12T09:57:52.868Z,2020-10-12 09:56:57.868000+00:00,0.0
64354,gate,Position,0x000b,105.2,0x00000000,2020-10-12T09:57:52.868Z,2020-10-12 09:56:57.868000+00:00,0.0
64355,store,DiscSize,0x0003,0,0x00000000,2020-10-12T09:57:52.897Z,2020-10-12 09:56:57.897000+00:00,0.0
64356,qc,DistanceAbs,0x000b,6.5525921788999995,0x00000000,2020-10-12T09:57:52.918Z,2020-10-12 09:56:57.918000+00:00,0.0
64357,qc,DistanceY,0x000b,5.8064513057500005,0x00000000,2020-10-12T09:57:52.918Z,2020-10-12 09:56:57.918000+00:00,0.0
64358,qc,DistanceX,0x000b,3.03670668602,0x00000000,2020-10-12T09:57:52.918Z,2020-10-12 09:56:57.918000+00:00,0.0
64359,rp,527,0x0007,3192684610,0x00000000,2020-10-12T09:56:57.981Z,2020-10-12 09:56:57.981000+00:00,0.0
64360,rp,529,0x0007,1054153188,0x00000000,2020-10-12T09:56:57.983Z,2020-10-12 09:56:57.983000+00:00,0.0
64361,rp,528,0x0007,3188844743,0x00000000,2020-10-12T09:56:57.983Z,2020-10-12 09:56:57.983000+00:00,0.0
64362,gate,Position,0x000b,95.1,0x00000000,2020-10-12T09:57:53.168Z,2020-10-12 09:56:58.168000+00:00,0.0
64363,gate,Safe,0x0001,false,0x00000000,2020-10-12T09:57:53.168Z,2020-10-12 09:56:58.168000+00:00,0.0
64364,gate,Speed,0x000b,-30,0x00000000,2020-10-12T09:57:53.168Z,2020-10-12 09:56:58.168000+00:00,0.0
64365,store,DiscSize,0x0003,0,0x00000000,2020-10-12T09:57:53.197Z,2020-10-12 09:56:58.197000+00:00,0.0
64366,qc,DistanceX,0x000b,3.03670668602,0x00000000,2020-10-12T09:57:53.218Z,2020-10-12 09:56:58.218000+00:00,0.0
64367,qc,DistanceAbs,0x000b,6.5525921788999995,0x00000000,2020-10-12T09:57:53.218Z,2020-10-12 09:56:58.218000+00:00,0.0
64368,qc,DistanceY,0x000b,5.8064513057500005,0x00000000,2020-10-12T09:57:53.218Z,2020-10-12 09:56:58.218000+00:00,0.0
64369,rp,527,0x0007,3196411767,0x00000000,2020-10-12T09:56:58.231Z,2020-10-12 09:56:58.231000+00:00,0.0
64370,rp,528,0x0007,3188084830,0x00000000,2020-10-12T09:56:58.231Z,2020-10-12 09:56:58.231000+00:00,0.0
64371,rp,529,0x0007,1054006695,0x00000000,2020-10-12T09:56:58.234Z,2020-10-12 09:56:58.234000+00:00,0.0
64372,gate,Safe,0x0001,false,0x00000000,2020-10-12T09:57:53.468Z,2020-10-12 09:56:58.468000+00:00,0.0
64373,gate,Speed,0x000b,-30,0x00000000,2020-10-12T09:57:53.468Z,2020-10-12 09:56:58.468000+00:00,0.0
64374,gate,Position,0x000b,85.2,0x00000000,2020-10-12T09:57:53.468Z,2020-10-12 09:56:58.468000+00:00,0.0
64375,rp,527,0x0007,3198065167,0x00000000,2020-10-12T09:56:58.481Z,2020-10-12 09:56:58.481000+00:00,0.0
64376,rp,529,0x0007,1053889932,0x00000000,2020-10-12T09:56:58.484Z,2020-10-12 09:56:58.484000+00:00,0.0
64377,rp,528,0x0007,3187261667,0x00000000,2020-10-12T09:56:58.484Z,2020-10-12 09:56:58.484000+00:00,0.0
64378,store,DiscSize,0x0003,0,0x00000000,2020-10-12T09:57:53.497Z,2020-10-12 09:56:58.497000+00:00,0.0
64379,qc,DistanceAbs,0x000b,6.5525921788999995,0x00000000,2020-10-12T09:57:53.518Z,2020-10-12 09:56:58.518000+00:00,0.0
64380,qc,DistanceX,0x000b,3.03670668602,0x00000000,2020-10-12T09:57:53.518Z,2020-10-12 09:56:58.518000+00:00,0.0
64381,qc,DistanceY,0x000b,5.8064513057500005,0x00000000,2020-10-12T09:57:53.518Z,2020-10-12 09:56:58.518000+00:00,0.0
64382,rp,527,0x0007,3198143100,0x00000000,2020-10-12T09:56:58.732Z,2020-10-12 09:56:58.732000+00:00,0.0
64383,rp,528,0x0007,3187231221,0x00000000,2020-10-12T09:56:58.732Z,2020-10-12 09:56:58.732000+00:00,0.0
64384,rp,529,0x0007,1053888206,0x00000000,2020-10-12T09:56:58.735Z,2020-10-12 09:56:58.735000+00:00,0.0
64385,gate,Safe,0x0001,false,0x00000000,2020-10-12T09:57:53.768Z,2020-10-12 09:56:58.768000+00:00,0.0
64386,gate,Speed,0x000b,-30,0x00000000,2020-10-12T09:57:53.768Z,2020-10-12 09:56:58.768000+00:00,0.0
64387,gate,Position,0x000b,75.1,0x00000000,2020-10-12T09:57:53.768Z,2020-10-12 09:56:58.768000+00:00,0.0
64388,store,DiscSize,0x0003,0,0x00000000,2020-10-12T09:57:53.797Z,2020-10-12 09:56:58.797000+00:00,0.0
