,level_0,PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp,RobPos
18692,store,DiscSize,0x0003,2,0x00000000,2020-10-12T09:36:17.197Z,2020-10-12 09:35:22.197000+00:00,0.0
18693,qc,DistanceY,0x000b,5.59139755368,0x00000000,2020-10-12T09:36:17.218Z,2020-10-12 09:35:22.218000+00:00,0.0
18694,qc,DistanceX,0x000b,2.38598382473,0x00000000,2020-10-12T09:36:17.218Z,2020-10-12 09:35:22.218000+00:00,0.0
18695,qc,DistanceAbs,0x000b,6.0791977608200005,0x00000000,2020-10-12T09:36:17.218Z,2020-10-12 09:35:22.218000+00:00,0.0
18696,rp,527,0x0007,3198141688,0x00000000,2020-10-12T09:35:22.230Z,2020-10-12 09:35:22.230000+00:00,0.0
18697,rp,528,0x0007,3187231397,0x00000000,2020-10-12T09:35:22.233Z,2020-10-12 09:35:22.233000+00:00,0.0
18698,rp,529,0x0007,1053890129,0x00000000,2020-10-12T09:35:22.235Z,2020-10-12 09:35:22.235000+00:00,0.0
18699,gate,Safe,0x0001,false,0x00000000,2020-10-12T09:36:17.468Z,2020-10-12 09:35:22.468000+00:00,0.0
18700,gate,Position,0x000b,59.4,0x00000000,2020-10-12T09:36:17.468Z,2020-10-12 09:35:22.468000+00:00,0.0
18701,gate,Speed,0x000b,-30,0x00000000,2020-10-12T09:36:17.468Z,2020-10-12 09:35:22.468000+00:00,0.0
18702,rp,527,0x0007,3198142972,0x00000000,2020-10-12T09:35:22.481Z,2020-10-12 09:35:22.481000+00:00,0.0
18703,rp,528,0x0007,3187232361,0x00000000,2020-10-12T09:35:22.482Z,2020-10-12 09:35:22.482000+00:00,0.0
18704,rp,529,0x0007,1053888594,0x00000000,2020-10-12T09:35:22.484Z,2020-10-12 09:35:22.484000+00:00,0.0
18705,store,DiscSize,0x0003,2,0x00000000,2020-10-12T09:36:17.497Z,2020-10-12 09:35:22.497000+00:00,0.0
18706,qc,DistanceY,0x000b,5.59139755368,0x00000000,2020-10-12T09:36:17.518Z,2020-10-12 09:35:22.518000+00:00,0.0
18707,qc,DistanceX,0x000b,2.38598382473,0x00000000,2020-10-12T09:36:17.518Z,2020-10-12 09:35:22.518000+00:00,0.0
