,level_0,PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp,RobPos
13719,store,DiscSize,0x0003,2,0x00000000,2020-10-26T11:36:17.419Z,2020-10-26 11:35:10.419000+00:00,0.0
13720,flag,DiscSize,0x0003,2,0x00000000,2020-10-26T11:36:17.419Z,2020-10-26 11:35:10.419000+00:00,0.0
13721,qc,ResultCode,0x0006,0.0,0x00000000,2020-10-26T11:35:10.420Z,2020-10-26 11:35:10.420000+00:00,0.0
13722,qc,DistanceAbs,0x000b,1.10565411015,0x00000000,2020-10-26T11:35:10.420Z,2020-10-26 11:35:10.420000+00:00,0.0
13723,qc,DistanceX,0x000b,1.08453810215,0x00000000,2020-10-26T11:35:10.420Z,2020-10-26 11:35:10.420000+00:00,0.0
13724,qc,DistanceY,0x000b,0.21505375206500002,0x00000000,2020-10-26T11:35:10.420Z,2020-10-26 11:35:10.420000+00:00,0.0
13725,rp,529,0x0007,1053888131,0x00000000,2020-10-26T11:36:17.540Z,2020-10-26 11:35:10.540000+00:00,0.0
13726,rp,528,0x0007,3187230261,0x00000000,2020-10-26T11:36:17.545Z,2020-10-26 11:35:10.545000+00:00,0.0
13727,rp,527,0x0007,3198143039,0x00000000,2020-10-26T11:36:17.556Z,2020-10-26 11:35:10.556000+00:00,0.0
13728,gate,Speed,0x000b,0,0x00000000,2020-10-26T11:35:10.716Z,2020-10-26 11:35:10.716000+00:00,0.0
13729,gate,Position,0x000b,0.3,0x00000000,2020-10-26T11:35:10.716Z,2020-10-26 11:35:10.716000+00:00,0.0
13730,gate,Safe,0x0001,true,0x00000000,2020-10-26T11:35:10.716Z,2020-10-26 11:35:10.716000+00:00,0.0
13731,store,DiscSize,0x0003,2,0x00000000,2020-10-26T11:36:17.719Z,2020-10-26 11:35:10.719000+00:00,0.0
13732,flag,DiscSize,0x0003,2,0x00000000,2020-10-26T11:36:17.719Z,2020-10-26 11:35:10.719000+00:00,0.0
13733,qc,ResultCode,0x0006,0.0,0x00000000,2020-10-26T11:35:10.720Z,2020-10-26 11:35:10.720000+00:00,0.0
13734,qc,DistanceX,0x000b,1.08453810215,0x00000000,2020-10-26T11:35:10.720Z,2020-10-26 11:35:10.720000+00:00,0.0
13735,qc,DistanceAbs,0x000b,1.10565411015,0x00000000,2020-10-26T11:35:10.720Z,2020-10-26 11:35:10.720000+00:00,0.0
13736,qc,DistanceY,0x000b,0.21505375206500002,0x00000000,2020-10-26T11:35:10.720Z,2020-10-26 11:35:10.720000+00:00,0.0
13737,rp,529,0x0007,1052760095,0x00000000,2020-10-26T11:36:17.787Z,2020-10-26 11:35:10.787000+00:00,0.0
13738,rp,528,0x0007,3187677979,0x00000000,2020-10-26T11:36:17.788Z,2020-10-26 11:35:10.788000+00:00,0.0
13739,rp,527,0x0007,3198144207,0x00000000,2020-10-26T11:36:17.791Z,2020-10-26 11:35:10.791000+00:00,0.0
13740,gate,Safe,0x0001,true,0x00000000,2020-10-26T11:35:11.016Z,2020-10-26 11:35:11.016000+00:00,0.0
13741,gate,Position,0x000b,0.3,0x00000000,2020-10-26T11:35:11.016Z,2020-10-26 11:35:11.016000+00:00,0.0
13742,gate,Speed,0x000b,0,0x00000000,2020-10-26T11:35:11.016Z,2020-10-26 11:35:11.016000+00:00,0.0
13743,flag,DiscSize,0x0003,2,0x00000000,2020-10-26T11:36:18.019Z,2020-10-26 11:35:11.019000+00:00,0.0
13744,store,DiscSize,0x0003,2,0x00000000,2020-10-26T11:36:18.019Z,2020-10-26 11:35:11.019000+00:00,0.0
13745,qc,DistanceY,0x000b,0.21505375206500002,0x00000000,2020-10-26T11:35:11.020Z,2020-10-26 11:35:11.020000+00:00,0.0
13746,qc,ResultCode,0x0006,0.0,0x00000000,2020-10-26T11:35:11.020Z,2020-10-26 11:35:11.020000+00:00,0.0
13747,qc,DistanceAbs,0x000b,1.10565411015,0x00000000,2020-10-26T11:35:11.020Z,2020-10-26 11:35:11.020000+00:00,0.0
13748,qc,DistanceX,0x000b,1.08453810215,0x00000000,2020-10-26T11:35:11.020Z,2020-10-26 11:35:11.020000+00:00,0.0
13749,rp,529,0x0007,1051217379,0x00000000,2020-10-26T11:36:18.037Z,2020-10-26 11:35:11.037000+00:00,0.0
13750,rp,527,0x0007,3198142017,0x00000000,2020-10-26T11:36:18.039Z,2020-10-26 11:35:11.039000+00:00,0.0
13751,rp,528,0x0007,3187990183,0x00000000,2020-10-26T11:36:18.039Z,2020-10-26 11:35:11.039000+00:00,0.0
13752,rp,529,0x0007,1051186291,0x00000000,2020-10-26T11:36:18.287Z,2020-10-26 11:35:11.287000+00:00,1.0
13753,rp,527,0x0007,3198146285,0x00000000,2020-10-26T11:36:18.288Z,2020-10-26 11:35:11.288000+00:00,1.0
13754,rp,528,0x0007,3188631690,0x00000000,2020-10-26T11:36:18.288Z,2020-10-26 11:35:11.288000+00:00,1.0
13755,gate,Position,0x000b,0.3,0x00000000,2020-10-26T11:35:11.316Z,2020-10-26 11:35:11.316000+00:00,1.0
13756,gate,Safe,0x0001,true,0x00000000,2020-10-26T11:35:11.316Z,2020-10-26 11:35:11.316000+00:00,1.0
13757,gate,Speed,0x000b,0,0x00000000,2020-10-26T11:35:11.316Z,2020-10-26 11:35:11.316000+00:00,1.0
13758,store,DiscSize,0x0003,2,0x00000000,2020-10-26T11:36:18.319Z,2020-10-26 11:35:11.319000+00:00,1.0
13759,flag,DiscSize,0x0003,2,0x00000000,2020-10-26T11:36:18.319Z,2020-10-26 11:35:11.319000+00:00,1.0
13760,qc,DistanceX,0x000b,1.08453810215,0x00000000,2020-10-26T11:35:11.320Z,2020-10-26 11:35:11.320000+00:00,1.0
13761,qc,DistanceAbs,0x000b,1.10565411015,0x00000000,2020-10-26T11:35:11.320Z,2020-10-26 11:35:11.320000+00:00,1.0
13762,qc,ResultCode,0x0006,0.0,0x00000000,2020-10-26T11:35:11.320Z,2020-10-26 11:35:11.320000+00:00,1.0
13763,qc,DistanceY,0x000b,0.21505375206500002,0x00000000,2020-10-26T11:35:11.320Z,2020-10-26 11:35:11.320000+00:00,1.0
13764,rp,529,0x0007,1051185043,0x00000000,2020-10-26T11:36:18.537Z,2020-10-26 11:35:11.537000+00:00,1.0
13765,rp,527,0x0007,3198146521,0x00000000,2020-10-26T11:36:18.538Z,2020-10-26 11:35:11.538000+00:00,1.0
13766,rp,528,0x0007,3188629368,0x00000000,2020-10-26T11:36:18.538Z,2020-10-26 11:35:11.538000+00:00,1.0
13767,gate,Position,0x000b,0.3,0x00000000,2020-10-26T11:35:11.616Z,2020-10-26 11:35:11.616000+00:00,1.0
13768,gate,Safe,0x0001,true,0x00000000,2020-10-26T11:35:11.616Z,2020-10-26 11:35:11.616000+00:00,1.0
13769,gate,Speed,0x000b,0,0x00000000,2020-10-26T11:35:11.616Z,2020-10-26 11:35:11.616000+00:00,1.0
