,level_0,PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp,RobPos
41110,store,DiscSize,0x0003,2,0x00000000,2020-10-26T11:47:09.619Z,2020-10-26 11:46:02.619000+00:00,0.0
41111,flag,DiscSize,0x0003,2,0x00000000,2020-10-26T11:47:09.619Z,2020-10-26 11:46:02.619000+00:00,0.0
41112,qc,DistanceAbs,0x000b,1.15948202665,0x00000000,2020-10-26T11:46:02.620Z,2020-10-26 11:46:02.620000+00:00,0.0
41113,qc,DistanceX,0x000b,0.43381524086,0x00000000,2020-10-26T11:46:02.620Z,2020-10-26 11:46:02.620000+00:00,0.0
41114,qc,DistanceY,0x000b,1.07526876032,0x00000000,2020-10-26T11:46:02.620Z,2020-10-26 11:46:02.620000+00:00,0.0
41115,qc,ResultCode,0x0006,0.0,0x00000000,2020-10-26T11:46:02.620Z,2020-10-26 11:46:02.620000+00:00,0.0
41116,rp,529,0x0007,1053334836,0x00000000,2020-10-26T11:47:09.787Z,2020-10-26 11:46:02.787000+00:00,0.0
41117,rp,527,0x0007,3198144111,0x00000000,2020-10-26T11:47:09.792Z,2020-10-26 11:46:02.792000+00:00,0.0
41118,rp,528,0x0007,3187476958,0x00000000,2020-10-26T11:47:09.792Z,2020-10-26 11:46:02.792000+00:00,0.0
41119,gate,Safe,0x0001,true,0x00000000,2020-10-26T11:46:02.916Z,2020-10-26 11:46:02.916000+00:00,0.0
41120,gate,Speed,0x000b,0,0x00000000,2020-10-26T11:46:02.916Z,2020-10-26 11:46:02.916000+00:00,0.0
41121,gate,Position,0x000b,0.3,0x00000000,2020-10-26T11:46:02.916Z,2020-10-26 11:46:02.916000+00:00,0.0
41122,store,DiscSize,0x0003,2,0x00000000,2020-10-26T11:47:09.919Z,2020-10-26 11:46:02.919000+00:00,0.0
41123,flag,DiscSize,0x0003,2,0x00000000,2020-10-26T11:47:09.919Z,2020-10-26 11:46:02.919000+00:00,0.0
41124,qc,DistanceAbs,0x000b,1.15948202665,0x00000000,2020-10-26T11:46:02.920Z,2020-10-26 11:46:02.920000+00:00,0.0
41125,qc,ResultCode,0x0006,0.0,0x00000000,2020-10-26T11:46:02.920Z,2020-10-26 11:46:02.920000+00:00,0.0
41126,qc,DistanceX,0x000b,0.43381524086,0x00000000,2020-10-26T11:46:02.920Z,2020-10-26 11:46:02.920000+00:00,0.0
41127,qc,DistanceY,0x000b,1.07526876032,0x00000000,2020-10-26T11:46:02.920Z,2020-10-26 11:46:02.920000+00:00,0.0
41128,rp,528,0x0007,3187940133,0x00000000,2020-10-26T11:47:10.037Z,2020-10-26 11:46:03.037000+00:00,0.0
41129,rp,529,0x0007,1051455755,0x00000000,2020-10-26T11:47:10.037Z,2020-10-26 11:46:03.037000+00:00,0.0
41130,rp,527,0x0007,3198142432,0x00000000,2020-10-26T11:47:10.038Z,2020-10-26 11:46:03.038000+00:00,0.0
41131,gate,Speed,0x000b,0,0x00000000,2020-10-26T11:46:03.216Z,2020-10-26 11:46:03.216000+00:00,0.0
41132,gate,Safe,0x0001,true,0x00000000,2020-10-26T11:46:03.216Z,2020-10-26 11:46:03.216000+00:00,0.0
41133,gate,Position,0x000b,0.3,0x00000000,2020-10-26T11:46:03.216Z,2020-10-26 11:46:03.216000+00:00,0.0
41134,flag,DiscSize,0x0003,2,0x00000000,2020-10-26T11:47:10.219Z,2020-10-26 11:46:03.219000+00:00,0.0
41135,store,DiscSize,0x0003,2,0x00000000,2020-10-26T11:47:10.219Z,2020-10-26 11:46:03.219000+00:00,0.0
41136,qc,ResultCode,0x0006,0.0,0x00000000,2020-10-26T11:46:03.220Z,2020-10-26 11:46:03.220000+00:00,0.0
41137,qc,DistanceX,0x000b,0.43381524086,0x00000000,2020-10-26T11:46:03.220Z,2020-10-26 11:46:03.220000+00:00,0.0
41138,qc,DistanceAbs,0x000b,1.15948202665,0x00000000,2020-10-26T11:46:03.220Z,2020-10-26 11:46:03.220000+00:00,0.0
41139,qc,DistanceY,0x000b,1.07526876032,0x00000000,2020-10-26T11:46:03.220Z,2020-10-26 11:46:03.220000+00:00,0.0
41140,rp,529,0x0007,1051185035,0x00000000,2020-10-26T11:47:10.287Z,2020-10-26 11:46:03.287000+00:00,1.0
41141,rp,528,0x0007,3188570970,0x00000000,2020-10-26T11:47:10.289Z,2020-10-26 11:46:03.289000+00:00,1.0
41142,rp,527,0x0007,3198145230,0x00000000,2020-10-26T11:47:10.289Z,2020-10-26 11:46:03.289000+00:00,1.0
41143,gate,Speed,0x000b,0,0x00000000,2020-10-26T11:46:03.516Z,2020-10-26 11:46:03.516000+00:00,1.0
41144,gate,Safe,0x0001,true,0x00000000,2020-10-26T11:46:03.516Z,2020-10-26 11:46:03.516000+00:00,1.0
41145,gate,Position,0x000b,0.3,0x00000000,2020-10-26T11:46:03.516Z,2020-10-26 11:46:03.516000+00:00,1.0
41146,store,DiscSize,0x0003,2,0x00000000,2020-10-26T11:47:10.519Z,2020-10-26 11:46:03.519000+00:00,1.0
41147,flag,DiscSize,0x0003,2,0x00000000,2020-10-26T11:47:10.519Z,2020-10-26 11:46:03.519000+00:00,1.0
